route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
Q4,JA_F0-Weekday-133300_MISC_567,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q4,JA_F0-Weekday-133300_Q4_12,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q84,JA_F0-Weekday-133500_MISC_575,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q840027,0.0,0
Q85,JA_F0-Weekday-133600_MISC_556,JA_F0-Weekday,ROSEDALE 147 AV,0,Q850286,0.0,0
Q85,JA_F0-Weekday-133600_Q85_20,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850284,0.0,0
Q30,JA_F0-Weekday-133700_MISC_548,JA_F0-Weekday,JAMAICA LIRR,1,Q300306,0.0,0
Q17,JA_F0-Weekday-133800_MISC_546,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q3,JA_F0-Weekday-134000_MISC_536,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
Q84,JA_F0-Weekday-134000_MISC_557,JA_F0-Weekday,LAURELTON 238 ST via 120 AV,0,Q840026,0.0,0
Q30,JA_F0-Weekday-134000_MISC_577,JA_F0-Weekday,QUEENSBOROUGH COMMUNITY COLLEGE,0,Q300028,0.0,0
Q5,JA_F0-Weekday-134200_Q5_16,JA_F0-Weekday,GREEN ACRES via MERRICK,0,Q050036,0.0,0
Q3,JA_F0-Weekday-134400_MISC_543,JA_F0-Weekday,JFK AIRPORT via FARMERS BL,1,Q030043,0.0,0
Q17,JA_F0-Weekday-134500_MISC_554,JA_F0-Weekday,FLUSHING MAIN ST STATION,0,Q170071,0.0,0
Q4,JA_F0-Weekday-134500_Q4_11,JA_F0-Weekday,CAMBRIA HEIGHTS 235 ST via LINDEN,0,Q040050,0.0,0
Q85,JA_F0-Weekday-134600_MISC_525,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850283,0.0,0
Q17,JA_F0-Weekday-134600_MISC_565,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q85,JA_F0-Weekday-134600_Q85_22,JA_F0-Weekday,GREEN ACRES,0,Q850285,0.0,0
Q4,JA_F0-Weekday-134800_MISC_539,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q30,JA_F0-Weekday-134800_MISC_551,JA_F0-Weekday,JAMAICA LIRR,1,Q300304,0.0,0
Q5,JA_F0-Weekday-134900_Q5_15,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via MERRICK,1,Q050053,0.0,0
Q5,JA_F0-Weekday-135200_MISC_550,JA_F0-Weekday,ROSEDALE LIRR via MERRICK,0,Q050035,0.0,0
Q17,JA_F0-Weekday-135400_MISC_558,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q30,JA_F0-Weekday-135500_MISC_559,JA_F0-Weekday,LITTLE NECK LITTLE NECK PKY,0,Q300027,0.0,0
Q84,JA_F0-Weekday-135500_MISC_572,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q840027,0.0,0
Q3,JA_F0-Weekday-135500_Q3_9,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
Q85,JA_F0-Weekday-135600_MISC_561,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850284,0.0,0
