ID,Timestamp,Route,Next stop,Destination,Bearing,Longitude,Latitude
4953,2020-06-25T08:52:06.000-04:00,M79-SBS,W 79 ST/BROADWAY,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,337.5294,-73.981542,40.784504
4964,2020-06-25T08:52:50.000-04:00,M14A-SBS,ESSEX ST/DELANCEY ST,SELECT BUS WEST SIDE via 14 ST,62.327923,-73.988622,40.717731
14,2020-06-25T08:52:48.000-04:00,M42,E 42 ST/3 AV,WEST SIDE PIER 12 AV CROSSTOWN,154.75948,-73.974227,40.750691
4953,2020-06-25T08:53:07.000-04:00,M79-SBS,W 79 ST/BROADWAY,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,337.5294,-73.981542,40.784504
4964,2020-06-25T08:53:20.000-04:00,M14A-SBS,AV A/E HOUSTON ST,SELECT BUS WEST SIDE via 14 ST,62.510902,-73.987953,40.719026
14,2020-06-25T08:53:19.000-04:00,M42,E 42 ST/LEXINGTON AV,WEST SIDE PIER 12 AV CROSSTOWN,157.3619,-73.975053,40.751046
4953,2020-06-25T08:53:38.000-04:00,M79-SBS,W 79 ST/BROADWAY,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,337.5294,-73.981542,40.784504
4964,2020-06-25T08:53:51.000-04:00,M14A-SBS,AV A/E HOUSTON ST,SELECT BUS WEST SIDE via 14 ST,62.510902,-73.987753,40.719411
14,2020-06-25T08:54:20.000-04:00,M42,E 42 ST/LEXINGTON AV,WEST SIDE PIER 12 AV CROSSTOWN,154.8407,-73.975954,40.751431
4964,2020-06-25T08:54:52.000-04:00,M14A-SBS,AV A/E HOUSTON ST,SELECT BUS WEST SIDE via 14 ST,62.38697,-73.986393,40.722059
14,2020-06-25T08:54:51.000-04:00,M42,E 42 ST/MADISON AV,WEST SIDE PIER 12 AV CROSSTOWN,157.33545,-73.977479,40.752075
4964,2020-06-25T08:55:54.000-04:00,M14A-SBS,AV A/E 5 ST,SELECT BUS WEST SIDE via 14 ST,54.24982,-73.98592,40.72276
14,2020-06-25T08:55:52.000-04:00,M42,E 42 ST/MADISON AV,WEST SIDE PIER 12 AV CROSSTOWN,156.50143,-73.978424,40.752465
4953,2020-06-25T08:56:11.000-04:00,M79-SBS,W 79 ST/BROADWAY,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,336.90625,-73.980361,40.784006
4964,2020-06-25T08:56:24.000-04:00,M14A-SBS,AV A/E 5 ST,SELECT BUS WEST SIDE via 14 ST,54.24982,-73.985834,40.722881
14,2020-06-25T08:56:23.000-04:00,M42,E 42 ST/MADISON AV,WEST SIDE PIER 12 AV CROSSTOWN,156.50143,-73.978574,40.75253
4953,2020-06-25T08:56:41.000-04:00,M79-SBS,AMSTERDAM AV/W 79 ST,SELECT BUS YRKVLLE EAST END AV CROSSTOWN,337.0679,-73.980134,40.783909
