service_id,date,exception_type
YU_F0-Weekday,20200415,1
YU_F0-Weekday,20200416,1
YU_F0-Weekday,20200417,1
YU_F0-Weekday,20200420,1
YU_F0-Weekday,20200421,1
YU_F0-Weekday,20200422,1
YU_F0-Weekday,20200423,1
YU_F0-Weekday,20200424,1
YU_F0-Weekday,20200427,1
YU_F0-Weekday,20200428,1
YU_F0-Weekday,20200429,1
YU_F0-Weekday,20200430,1
YU_F0-Weekday,20200501,1
YU_F0-Weekday,20200504,1
YU_F0-Weekday,20200505,1
YU_F0-Weekday,20200506,1
YU_F0-Weekday,20200507,1
YU_F0-Weekday,20200508,1
YU_F0-Weekday,20200511,1
YU_F0-Weekday,20200512,1
YU_F0-Weekday,20200513,1
YU_F0-Weekday,20200514,1
YU_F0-Weekday,20200515,1
YU_F0-Weekday,20200518,1
YU_F0-Weekday,20200519,1
YU_F0-Weekday,20200520,1
YU_F0-Weekday,20200521,1
YU_F0-Weekday,20200522,1
YU_F0-Weekday,20200525,1
YU_F0-Weekday,20200526,1
YU_F0-Weekday,20200527,1
YU_F0-Weekday,20200528,1
YU_F0-Weekday,20200529,1
YU_F0-Weekday,20200601,1
YU_F0-Weekday,20200602,1
YU_F0-Weekday,20200603,1
YU_F0-Weekday,20200604,1
YU_F0-Weekday,20200605,1
YU_F0-Weekday,20200608,1
YU_F0-Weekday,20200609,1
YU_F0-Weekday,20200610,1
YU_F0-Weekday,20200611,1
YU_F0-Weekday,20200612,1
YU_F0-Weekday,20200615,1
YU_F0-Weekday,20200616,1
YU_F0-Weekday,20200617,1
YU_F0-Weekday,20200618,1
YU_F0-Weekday,20200619,1
YU_F0-Weekday,20200622,1
YU_F0-Weekday,20200623,1
YU_F0-Weekday,20200624,1
YU_F0-Weekday,20200625,1
YU_F0-Weekday,20200626,1
