,1 AV/E 67 ST,1 AV/E 11 ST,1 AV/E 57 ST,1 AV/E 70 ST,1 AV/E 45 ST,2 AV/E 3 ST,1 AV/E 75 ST,1 AV/ST MARKS PL,2 AV/E 6 ST,WATER ST/BROAD ST,SOUTH ST/WHITEHALL ST,2 AV/E 17 ST,2 AV/E 72 ST,2 AV/E 42 ST,1 AV/E 25 ST,2 AV/E 96 ST,PIKE ST/CHERRY ST,PEARL ST/PECK SLIP,1 AV/E 79 ST,2 AV/E 70 ST,2 AV/E 23 ST,1 AV/E 113 ST,2 AV/E 113 ST,ALLEN ST/HESTER ST,1 AV/E 52 ST,2 AV/E 122 ST,PEARL ST / PEARL ST,1 AV/E 108 ST,2 AV/E 9 ST,1 AV/E 34 ST,2 AV/E 75 ST,2 AV/E 82 ST,2 AV/E 101 ST,ALLEN ST/STANTON ST,2 AV/E 20 ST,1 AV/E 39 ST,1 AV/E 2 ST,2 AV/E 97 ST,2 AV/E 31 ST,ALLEN ST/GRAND ST,2 AV/E 54 ST,1 AV/E 93 ST,2 AV/E 66 ST,1 AV/E 17 ST,E 126 ST/2 AV,2 AV/E 87 ST,2 AV/E 92 ST,1 AV/E 55 ST,1 AV/ E 97 ST,2 AV/E 12 ST,1 AV/MITCHELL PL,PEARL ST/FRANKFORT ST,1 AV/E 111 ST,1 AV/E 86 ST,2 AV/E 116 ST,1 AV/E 31 ST,2 AV/E 46 ST,2 AV/E 94 ST,MADISON ST/OLIVER ST,MADISON ST/MARKET ST,1 AV/E 28 ST,1 AV/E 120 ST,2 AV/E 125 ST,WATER ST/GOUVERNEUR LA,WATER ST/WALL ST,1 AV/E 23 ST,2 AV/E 106 ST,2 AV/E 39 ST,1 AV/E 102 ST,1 AV/E 42 ST,1 AV/E 99 ST,2 AV/E 28 ST,2 AV/E 36 ST,WATER ST/HANOVER SQ,2 AV/E 89 ST,2 AV/E 119 ST,1 AV/E 125 ST,1 AV/E 116 ST,2 AV/E 14 ST,1 AV/E 14 ST,2 AV/E 64 ST,PIKE ST/MADISON ST,1 AV/E 60 ST,2 AV/E 34 ST,1 AV/E 36 ST,MADISON ST/CATHERINE ST,2 AV/E 103 ST,1 AV/E 89 ST,1 AV / 4 ST,1 AV/E 106 ST,BROAD ST/WATER ST,ST JAMES PL/R F WAGNER SR PL,E HOUSTON ST/FORSYTH ST,1 AV/E 20 ST,2 AV/E 108 ST,2 AV/E 111 ST,1 AV/E 27 ST,2 AV/E 50 ST,ALLEN ST/CANAL ST,1 AV/E 62 ST,PEARL ST/FULTON ST,1 AV/PALADINO AV,WATER ST/JOHN ST,MADISON ST/ST JAMES PL,2 AV/E 25 ST,1 AV/E 82 ST,1 AV/E 77 ST,2 AV/E 78 ST,2 AV/E 61 ST,1 AV/E 64 ST,2 AV/E 84 ST,2 AV/E 68 ST,ALLEN ST/DELANCEY ST,PIKE ST/DIVISION ST,1 AV/E 72 ST,2 AV/E 57 ST,ALLEN ST/E HOUSTON ST,WATER ST/OLD SLIP,Michael J. Quill Depot (MQ)
2 AV/E 28 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,
2 AV/E 36 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER ST/HANOVER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 119 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.404 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 116 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 64 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558 SOUTH FERRY via 2 AV,,,,,,,,,,
PIKE ST/MADISON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 EAST HARLEM 125 ST via 1 AV,,,,,
1 AV/E 60 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,
2 AV/E 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 36 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON ST/CATHERINE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,
2 AV/E 103 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV / 4 ST,,,,,,,,0.256 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROAD ST/WATER ST,,,,,,,,,,,,,,,,,2.124 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST JAMES PL/R F WAGNER SR PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E HOUSTON ST/FORSYTH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 SOUTH FERRY via 2 AV,,
1 AV/E 20 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 111 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 27 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEN ST/CANAL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 62 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 EAST HARLEM 125 ST via 1 AV,,,,,,,,,
PEARL ST/FULTON ST,,,,,,,,,,,,,,,,,,0.253 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,
1 AV/PALADINO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER ST/JOHN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON ST/ST JAMES PL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 25 ST,,,,,,,,,,,,,,,,,,,,,0.163 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 82 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 77 ST,,,,,,,,,,,,,,,,,,,0.206 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 78 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 61 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.736 SOUTH FERRY via 2 AV,,,
1 AV/E 64 ST,0.254 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 84 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 68 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEN ST/DELANCEY ST,,,,,,,,,,,,,,,,,,,,,,,,0.599 SOUTH FERRY via 2 AV,,,,,,,,,,0.298 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIKE ST/DIVISION ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.592 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 72 ST,,,,,,,0.26 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEN ST/E HOUSTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.945 SOUTH FERRY via 2 AV,,,,,,
WATER ST/OLD SLIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.233 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
