,MADISON AV/E 129 ST,W 147 ST/MALCOLM X BL,MADISON AV/E 52 ST,5 AV/W 12 ST,MALCOLM X BL/W 146 ST,MADISON AV/E 125 ST,MADISON AV/E 63 ST,MADISON AV/E 30 ST,5 AV/W 35 ST,5 AV/W 56 ST,MADISON AV/E 49 ST,MADISON AV/E 101 ST,MADISON AV/E 104 ST,E 8 ST/UNIVERSITY PL,4 AV/E 9 ST,MT MORRIS PK W/W 121 ST,MADISON AV/E 47 ST,5 AV/E 75 ST,W 147 ST/ADAM C POWELL BL,5 AV/E 63 ST,5 AV/E 61 ST,5 AV/W 137 ST,5 AV/E 72 ST,MADISON AV/E 118 ST,MADISON AV/E 102 ST,MADISON AV/E 60  ST,PARK AV S/E 18 ST,5 AV/W 29 ST,MADISON AV/E 57 ST,146 ST/LENOX AV,MADISON AV/E 91 ST,MADISON AV/E 66 ST,4 AV/E 12 ST,CLEVELAND  PL/SPRING ST,MADISON AV/E 34 ST,BROADWAY/W 3 ST,MADISON AV/E 106 ST,MADISON AV/E 89 ST,MADISON AV/E 86 ST,5 AV/W 112 ST,5 AV/W 26 ST,5 AV/W 44 ST,5 AV/W 20 ST,5 AV/W 23 ST,5 AV/E 90 ST,E 8 ST/5 AV,UNION SQ E/E 15 ST,5 AV/E 81 ST,MADISON AV/E 42 ST,MALCOLM X BL/W 145 ST,5 AV/W 118 ST,LAFAYETTE ST/E HOUSTON ST,MADISON AV/E 69 ST,MADISON AV/E 93 ST,5 AV/W 10 ST,5 AV/E 96 ST,LAFAYETTE ST/E 4 ST,CENTRE ST/BROOME ST,PARK AV S/E 21 ST,5 AV/W 41 ST,LAFAYETTE ST/ASTOR PL,5 AV/E 135 ST,5 AV/E 77 ST,5 AV/W 66 ST,MADISON AV/E 28 ST,4 AV/E 10 ST,5 AV/W 49 ST,5 AV/W 17 ST,E 8 ST/LAFAYETTE ST,MADISON AV/E 81 ST,MADISON AV/E 127 ST,MADISON AV/E 95 ST,MADISON AV/E 72 ST,W 139 ST/5 AV,5 AV/W 31 ST,5 AV/E 102 ST,W 120 ST/5 AV,W 139 ST/MALCOLM X BL,5 AV/E 108 ST,BROADWAY/PRINCE ST,MADISON AV/E 83 ST,5 AV/E 84 ST,5 AV/E 92 ST,5 AV/W 46 ST,MALCOLM X BL/W 142 ST,5 AV/E 98 ST,MADISON AV/E 67 ST,MADISON AV/E 37 ST,5 AV/W 132 ST,5 AV/W 52 ST,MADISON AV/E 114 ST,5 AV/W 116 ST,MADISON AV/E 98 ST,MADISON AV/E 109 ST,5 AV/W 128 ST,5 AV/W 59 ST,5 AV/W 125 ST,MADISON AV/E 116 ST,5 AV/W 38 ST,MADISON AV/E 123 ST,5 AV/E 138 ST,MADISON AV/E 112 ST,MADISON AV/E 107 ST,E 25 ST/PARK AV S,5 AV/EAST 109 ST,MADISON AV/E 121 ST,MADISON AV/E 55  ST,MALCOLM X BL/W 139 ST,PARK AV S/E 23 ST,5 AV/W 130 ST,5 AV/W 13 ST,5 AV/E 94 ST,5 AV/E 87 ST,MADISON AV/E 45 ST,BROADWAY/BLEECKER ST,5 AV/E 106 ST,MT MORRIS PK W/W 124 ST,MADISON AV/E 40  ST,5 AV/E 104 ST,BROADWAY/SPRING ST,MADISON AV/E 74 ST,5 AV/W 138 ST,E 8 ST/MERCER ST,5 AV/W 135 ST,5 AV/W 33 ST,4 AV/E 13 ST,MADISON AV/E 77 ST,BROADWAY/WAVERLY PL,BROADWAY/W HOUSTON ST,MADISON AV/E 132 ST,E 135 ST/MADISON AV,5 AV/E 69 ST,Michael J. Quill Depot (MQ)
MADISON AV/E 49 ST,,,0.195 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 101 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.137 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 104 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 8 ST/UNIVERSITY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,
4 AV/E 9 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.084 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT MORRIS PK W/W 121 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 47 ST,,,,,,,,,,,0.238 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 75 ST,,,,,,,,,,,,,,,,,,,,,,,0.275 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 147 ST/ADAM C POWELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 63 ST,,,,,,,,,,,,,,,,,,,,,0.171 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 61 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 137 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126 GRAND ST via 5 AV/BROADWAY,,,,,,,,,
5 AV/E 72 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 GRAND ST via 5 AV/BROADWAY,
MADISON AV/E 118 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 102 ST,,,,,,,,,,,,,0.099 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 60  ST,,,,,,,0.238 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK AV S/E 18 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 29 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146 ST/LENOX AV,,,,,0.0 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 91 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 AV/E 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46 HARLEM 147 ST via MADISON AV,,,,,,,
CLEVELAND  PL/SPRING ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 3 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,
MADISON AV/E 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 112 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 26 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 44 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 20 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 23 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 90 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,
E 8 ST/5 AV,,,,,,,,,,,,,,0.184 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION SQ E/E 15 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.941 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 81 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 42 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 145 ST,,0.168 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 118 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE ST/E HOUSTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 69 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 93 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 10 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 96 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE ST/E 4 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE ST/BROOME ST,,,,,,,,,,,,,,,1.835 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,0.168 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK AV S/E 21 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 41 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE ST/ASTOR PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.108 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
