,CHURCH ST/WARREN ST,AV OF THE AMERICAS/W HOUSTON ST,AV OF THE AMERICAS/BROOME ST,AV OF THE AMERICAS/W 18 ST,5 AV/W 38 ST,5 AV/W 13 ST,5 AV/W 12 ST,BROADWAY/GRAND ST,5 AV/W 20 ST,AV OF THE AMERICAS/WAVERLY PL,E 8 ST/MERCER ST,BROADWAY/BARCLAY ST,BROADWAY/BLEECKER ST,STATE ST/BRIDGE ST,AV OF THE AMERICAS/W 40 ST,BROADWAY/WALKER ST,AV OF THE AMERICAS/WHITE ST,CHURCH ST/VESEY ST,AV OF THE AMERICAS/W 20 ST,CHURCH ST/LIBERTY ST,5 AV/W 17 ST,AV OF THE AMERICAS/THOMPSON ST,AV OF THE AMERICAS/W 23 ST,W 44 ST/6 AV,BROADWAY/CORTLANDT ST,AV OF THE AMERICAS/W 3 ST,AV OF THE AMERICAS/WEST BROADWAY,E 8 ST/5 AV,TRINITY PL/RECTOR ST,BROADWAY/PARK PL,5 AV/W 41 ST,AV OF THE AMERICAS/W 31 ST,BROADWAY/RECTOR ST,E 8 ST/UNIVERSITY PL,BROADWAY/W HOUSTON ST,AV OF THE AMERICAS/PRINCE ST,AV OF THE AMERICAS/W 10 ST,AV OF THE AMERICAS/W 34 ST,BROADWAY/THOMAS ST,GREENWICH ST/MORRIS ST,5 AV/W 35 ST,CHURCH ST/CHAMBERS ST,5 AV/W 33 ST,BROADWAY/PRINCE ST,CHURCH ST/WORTH ST,5 AV/W 29 ST,BROADWAY/W 3 ST,AV OF THE AMERICAS/W 15 ST,BROADWAY/WAVERLY PL,5 AV/W 31 ST,AV OF THE AMERICAS/W 29 ST,5 AV/W 23 ST,BROADWAY/SPRING ST,BROADWAY/FRANKLIN ST,5 AV/W 10 ST,5 AV/W 26 ST,BROADWAY/WARREN ST,AV OF THE AMERICAS/SPRING ST,AV OF THE AMERICAS/W 27 ST,STATE ST/WHITEHALL ST,AV OF THE AMERICAS/W 42 ST,AV OF THE AMERICAS/W 38 ST,AV OF THE AMERICAS/W 12 ST,Michael J. Quill Depot (MQ)
AV OF THE AMERICAS/W 23 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 44 ST 6 AV,,,,,
W 44 ST/6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.597 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/CORTLANDT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 3 ST,,,,,,,,,,0.264 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/WEST BROADWAY,,,,,,,,,,,,,,,,,,,,,,0.129 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 8 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRINITY PL/RECTOR ST,,,,,,,,,,,,,,,,,,,,0.237 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/PARK PL,,,,,,,,,,,,0.042 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 41 ST,,,,,0.172 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 31 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/RECTOR ST,,,,,,,,,,,,,,0.484 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 8 ST/UNIVERSITY PL,,,,,,,,,,,0.159 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W HOUSTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/PRINCE ST,,0.101 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 10 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 44 ST 6 AV,
AV OF THE AMERICAS/W 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318 44 ST 6 AV,,
BROADWAY/THOMAS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 SOUTH FERRY,,,,,,,
GREENWICH ST/MORRIS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 35 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,
CHURCH ST/CHAMBERS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 44 ST 6 AV,,,,,,,,,,,,,,,,,,,
5 AV/W 33 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 SOUTH FERRY,,,,,,,,,,,,,,
BROADWAY/PRINCE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 SOUTH FERRY,,,,,,,,,,,
CHURCH ST/WORTH ST,,,,,,,,,,,,,,,,,0.263 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 29 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 SOUTH FERRY,,,,,,,,
BROADWAY/W 3 ST,,,,,,,,,,,,,0.17 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 15 ST,,,,0.229 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/WAVERLY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 SOUTH FERRY,,,,,,,,,,,,,,,,,
5 AV/W 31 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117 SOUTH FERRY,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 29 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 23 ST,,,,,,,,,0.24 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/SPRING ST,,,,,,,,0.286 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/FRANKLIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 10 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 26 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 SOUTH FERRY,,,,,,,,,,,,
BROADWAY/WARREN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/SPRING ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 27 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 44 ST 6 AV,,,,,,,,,,,,,
STATE ST/WHITEHALL ST,,,,,,,,,,,,,,0.238 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 42 ST,,,,,,,,,,,,,,,,,,,,,,,,0.15 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 38 ST,,,,,,,,,,,,,,,0.157 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.733 to depot of M55
AV OF THE AMERICAS/W 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 44 ST 6 AV,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.548 44 ST 6 AV,,
