,3 AV/E 75 ST,LEXINGTON AV/E 92 ST,LEXINGTON AV/E 116 ST,W 116 ST/5 AV,MALCOLM X BL/W 127 ST,3 AV/E 69 ST,3 AV/E 60 ST,LEXINGTON AV/E 28 ST,LEXINGTON AV/E 34 ST,LEXINGTON AV/E 96 ST,3 AV/E 67 ST,MALCOLM X BL/W 142 ST,LEXINGTON AV/E 31 ST,LEXINGTON AV/E 59 ST,LEXINGTON AV/E 72 ST,LEXINGTON AV/E 79 ST,MALCOLM X BL/W 137 ST,E 116 ST/MADISON AV,LEXINGTON AV/E 104 ST,MALCOLM X BL / W 116 ST,LEXINGTON AV/E 114 ST,EAST 24 ST/LEXINGTON AV,3 AV/E 9 ST,LEXINGTON AV/E 42 ST,LEXINGTON AV/E 98 ST,3 AV/E 21 ST,3 AV/E 93 ST,MALCOLM X BL/W 125 ST,3 AV/E 109 ST,3 AV/E 23 ST,3 AV/E 50 ST,LEXINGTON AV/E 37 ST,E 116 ST/PARK AV,3 AV/E 97 ST,MALCOLM X BL/W 129 ST,3 AV/E 14 ST,LEXINGTON AV/E 94 ST,LEXINGTON AV/E 64 ST,3 AV/E 57 ST,3 AV/E 104 ST,3 AV/E 65 ST,MALCOLM X BL/W 132 ST,MALCOLM X BL/W 119 ST,ASTOR PL/3 AV,E 116 ST/3 AV,3 AV/E 39 ST,LEXINGTON AV/E 52 ST,LEXINGTON AV/E 83 ST,LEXINGTON AV/E 77 ST,3 AV/E 99 ST,LEXINGTON AV/E 49 ST,3 AV/E 77 ST,3 AV/E 112 ST,3 AV/E 63 ST,3 AV/E 88 ST,E 116 ST/LEXINGTON AV,E 116 ST/5 AV,W 147 ST/MALCOLM X BL,3 AV/E 106 ST,3 AV/E 42 ST,LEXINGTON AV/E 26 ST,3 AV/E 72 ST,3 AV/E 102 ST,LEXINGTON AV/E 86 ST,3 AV/E 20 ST,LEXINGTON AV/E 47 ST,MALCOLM X BL/W 139 ST,LEXINGTON AV/E 40 ST,3 AV/E 31 ST,W 146 ST/MALCOLM X  BLVD,MALCOLM X BL/W 122 ST,LEXINGTON AV/E 62 ST,LEXINGTON AV/E 70 ST,3 AV/E 82 ST,3 AV/E 53 ST,MALCOLM X B / W 119 ST,W 116 ST/MALCOLM X BL,3 AV/E 47 ST,MALCOLM X BL/W 135 ST,LEXINGTON AV/E 100 ST,3 AV/E 17 ST,LEXINGTON AV/E 110 ST,LEXINGTON AV/E 106 ST,LEXINGTON AV/E 89 ST,3 AV/ASTOR PL,3 AV/E 26 ST,3 AV/E 33 ST,3 AV/E 11 ST,W 147 ST/ADAM C POWELL BL,3 AV/E 37 ST,LEXINGTON AV/E 74 ST,W 146 ST/MALCOLM X BL,3 AV/E 45 ST,LEXINGTON AV/E 50 ST,3 AV/E 79 ST,3 AV/E 91 ST,LEXINGTON AV/E 68 ST,LEXINGTON AV/E 56 ST,MALCOLM X BL/W 145 ST,3 AV/E 29 ST,LEXINGTON AV/E 102 ST,LEXINGTON AV/E 45 ST,3 AV/E 86 ST,MALCOLM X BL/W 124 ST,Michael J. Quill Depot (MQ)
EAST 24 ST/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 9 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 42 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 98 ST,,,,,,,,,,0.203 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 21 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 93 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 125 ST,,,,,0.937 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 109 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 23 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.671 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,1.033 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,
3 AV/E 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 37 ST,,,,,,,,,0.298 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.404 to depot of M102
E 116 ST/PARK AV,,,0.155 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,0.169 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 97 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 129 ST,,,,,0.793 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816 HARLEM 147 ST via 3 AV,,,,,,,0.25 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 94 ST,,0.164 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 64 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 57 ST,,,,,,,0.243 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 104 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 65 ST,,,,,,,,,,,0.124 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 132 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.862 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 119 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTOR PL/3 AV,,,,,,,,,,,,,,,,,,,,,,,0.073 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 116 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 39 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,
LEXINGTON AV/E 83 ST,,,,,,,,,,,,,,,,0.439 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 77 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,
3 AV/E 99 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 49 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 77 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 HARLEM 147 ST via 3 AV,,,,,,,,,,
3 AV/E 112 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 63 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 88 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 HARLEM 147 ST via 3 AV,,,,,,,,,
E 116 ST/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 116 ST/5 AV,,,,,,,,,,,,,,,,,,,,0.305 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 147 ST/MALCOLM X BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,
3 AV/E 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.837 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 42 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 HARLEM 147 ST via 3 AV,,,,,,,,,,,,
LEXINGTON AV/E 26 ST,,,,,,,,,,,,,,,,,,,,,,0.158 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 72 ST,0.227 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
