,7 AV S/CLARKSON ST,8 AV/W 34 ST,8 AV/W 31 ST,8 AV/W 49 ST,HUDSON ST/W HOUSTON ST,7 AV/W 17 ST,7 AV/W 50 ST,7 AV/W 37 ST,8 AV/W 28 ST,HARRISON ST/WEST ST,8 AV/W 52 ST,8 AV/W 23 ST,STATE ST/BRIDGE ST,HUDSON ST/NORTH MOORE ST,HUDSON ST/CHARLTON ST,8 AV/W 14 ST,7 AV/WEST 55 ST,7 AV/W 28 ST,8 AV/W 25 ST,W BROADWAY/DUANE ST,BROADWAY/W 63 ST,7 AV/W 23 ST,HUDSON ST/CHRISTOPHER ST,8 AV/W 20 ST,STATE ST/WHITEHALL ST,8 AV/W 43 ST,W 66 ST/CENTRAL PK W,7 AV S/WAVERLY PL,7 AV/WEST 14 ST,8 AV/W  56 ST,HUDSON ST/BARROW ST,7 AV/W 41 ST,CENTRAL PK W/W 63 ST,BROADWAY/W 64 ST,7 AV S/BEDFORD ST,VARICK ST/CHARLTON ST,CHAMBERS ST/GREENWICH ST,VARICK ST/WATTS ST,WEST ST/CHAMBERS ST,W 66 ST/COLUMBUS AV,7 AV/W 31 ST,BATTERY PL/1 PL,HUDSON ST/PERRY ST,8 AV/W 4 ST,CHAMBERS ST/HUDSON ST,8 AV/W 17 ST,8 AV/W 46 ST,SOUTH END AV/GATEWAY PLAZA,7 AV/W 34 ST,CENTRAL PK S/COLUMBUS CI,BATTERY PL/3 PL,NORTH END AV/WARREN ST,7 AV/W 53 ST,7 AV/W 25 ST,CENTRAL PK W/COLUMBUS CIR,MURRAY ST/NORTH END AV,8 AV/BLEECKER ST,7 AV S/W 10 ST,HARRISON ST/HUDSON ST,7 AV S/BARROW ST,HUDSON ST/SPRING ST,7 AV/WEST 58 ST,COLUMBUS CIR/8 AV,CHAMBERS ST/WEST ST,WEST THAMES ST/SOUTH END AV,BATTERY PL/WASHINGTON ST,SOUTH END AV/ALBANY ST,7 AV/W 39 ST,VESEY ST/NORTH END AV,8 AV/W 41 ST,8 AV/W 37 ST,BROADWAY/W 61 ST,7 AV/W 20 ST,BATTERY PL/WEST ST,VARICK ST/NORTH MOORE ST,Michael J. Quill Depot (MQ)
7 AV/W 28 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,
8 AV/W 25 ST,,,,,,,,,0.273 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W BROADWAY/DUANE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 63 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 SOUTH FERRY via 7 AV via BAT PK CITY,,,,
7 AV/W 23 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 SOUTH FERRY via 7 AV via BAT PK CITY,,,
HUDSON ST/CHRISTOPHER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/W 20 ST,,,,,,,,,,,,0.239 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE ST/WHITEHALL ST,,,,,,,,,,,,,0.238 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/W 43 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 66 ST/CENTRAL PK W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV S/WAVERLY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,
7 AV/WEST 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/W  56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,
HUDSON ST/BARROW ST,,,,,,,,,,,,,,,,,,,,,,,0.154 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 41 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,
CENTRAL PK W/W 63 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 64 ST,,,,,,,,,,,,,,,,,,,,,0.449 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV S/BEDFORD ST,0.162 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARICK ST/CHARLTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMBERS ST/GREENWICH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,
VARICK ST/WATTS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.554 SOUTH FERRY via 7 AV via BAT PK CITY,
WEST ST/CHAMBERS ST,,,,,,,,,,0.245 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 66 ST/COLUMBUS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 31 ST,,,,,,,,,,,,,,,,,,0.218 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY PL/1 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,
HUDSON ST/PERRY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,
8 AV/W 4 ST,,,,,,,,,,,,,,,,0.168 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMBERS ST/HUDSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/W 17 ST,,,,,,,,,,,,,,,,,,,,,,,,0.222 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/W 46 ST,,,,0.322 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH END AV/GATEWAY PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,
7 AV/W 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK S/COLUMBUS CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,
BATTERY PL/3 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,0.177 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,
NORTH END AV/WARREN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,
7 AV/W 53 ST,,,,,,,0.208 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 25 ST,,,,,,,,,,,,,,,,,,,,,,0.163 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/COLUMBUS CIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURRAY ST/NORTH END AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/BLEECKER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV S/W 10 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,
HARRISON ST/HUDSON ST,,,,,,,,,,,,,,0.134 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV S/BARROW ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDSON ST/SPRING ST,,,,,,,,,,,,,,,0.166 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/WEST 58 ST,,,,,,,,,,,,,,,,,0.287 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS CIR/8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAMBERS ST/WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,
WEST THAMES ST/SOUTH END AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,0.824 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,
BATTERY PL/WASHINGTON ST,,,,,,,,,,,,,0.224 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH END AV/ALBANY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.962 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,
7 AV/W 39 ST,,,,,,,,0.123 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VESEY ST/NORTH END AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/W 41 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.975 to depot of M20
8 AV/W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315 LINCOLN CENTER 66 ST via 8 AV,,,,,,
BROADWAY/W 61 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,
7 AV/W 20 ST,,,,,,0.222 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY PL/WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,
VARICK ST/NORTH MOORE ST,,,,,,,,,,,,,,,,,,,,0.695 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.237 LINCOLN CENTER 66 ST via 8 AV,,,,,,
