,BROADWAY/W 68 ST,BROADWAY/W 93 ST,BROADWAY/W 73 ST,BROADWAY/W 106 ST,8 AV/W 52 ST,8 AV/W 49 ST,BROADWAY/W 84 ST,BROADWAY/W 119 ST,BROADWAY/W 108 ST,BROADWAY/W 79 ST,BROADWAY/W 63 ST,BROADWAY/W 77 ST,BROADWAY/W 103 ST,7 AV/W 53 ST,BROADWAY/W 102 ST,CONVENT AV/W 129 ST,BROADWAY/W 82 ST,BROADWAY/W 70 ST,BROADWAY/W 91 ST,BROADWAY/W 90 ST,W 125 ST/OLD BROADWAY,BROADWAY/W 74 ST,BROADWAY/W 61 ST,7 AV/W 44 ST,7 AV/W 41 ST,8 AV/W  56 ST,BROADWAY/W 99 ST,7 AV/W 50 ST,BROADWAY/W 75 ST,W 125 ST/AMSTERDAM AV,BROADWAY/W 97 ST,AMSTERDAM AV/W 129 ST,BROADWAY/W 100 ST,BROADWAY/W 86 ST,BROADWAY/W 76 ST,MORNINGSIDE AV/W 125 ST,BROADWAY/W 114 ST,COLUMBUS CIR/8 AV,7 AV/W 54 ST,BROADWAY/W 120 ST,8 AV/W 43 ST,7 AV/W 56 ST,BROADWAY/W 112 ST,AMSTERDAM AV/W 126 ST,7 AV/W 47 ST,BROADWAY/W 94 ST,BROADWAY/W 104 ST,7 AV/WEST 58 ST,BROADWAY/W 122 ST,BROADWAY/W 92 ST,W 41 ST/8 AV,BROADWAY/WEST 105 ST,BROADWAY/LA SALLE ST,BROADWAY/CATHEDRAL PY,BROADWAY/W 69 ST,BROADWAY/W 101 ST,BROADWAY/W 88 ST,BROADWAY/TIEMANN PL,BROADWAY/W 72 ST,8 AV/W 46 ST,BROADWAY/W 66 ST,BROADWAY/W 65 ST,BROADWAY/W 113 ST,BROADWAY/W 116 ST,Michael J. Quill Depot (MQ)
7 AV/W 56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 112 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 41 ST via BROADWAY/7 AV,,,,,,,,,,,
AMSTERDAM AV/W 126 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 47 ST,,,,,,,,,,,,,,,,,,,,,,,,0.256 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.536 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,
BROADWAY/W 104 ST,,,,,,,,,,,,,,,0.164 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/WEST 58 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 122 ST,,,,,,,,0.277 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,
BROADWAY/W 92 ST,,,,,,,,,,,,,,,,,,,,0.343 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 41 ST/8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,9.018 to depot of M104
BROADWAY/WEST 105 ST,,,,,,,,,0.305 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/LA SALLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.394 41 ST via BROADWAY/7 AV,,,,,,,,,0.136 WEST HARLEM 129 ST via BROADWAY,,,,,,,
BROADWAY/CATHEDRAL PY,,,,,,,,,1.219 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.291 WEST HARLEM 129 ST via BROADWAY,,
BROADWAY/W 69 ST,,,0.455 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 101 ST,,,,,,,,,,,,,0.193 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 88 ST,,,,,,,,,,,,,,,,,,,0.57 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,0.131 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/TIEMANN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,0.42 41 ST via BROADWAY/7 AV,,,,,,,,,,,,
BROADWAY/W 72 ST,,,,,,,,,,,,,,,,,,0.205 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/W 46 ST,,,,,,0.322 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,
BROADWAY/W 65 ST,,,,,,,,,,,0.624 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 113 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 WEST HARLEM 129 ST via BROADWAY,
BROADWAY/W 116 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 41 ST via BROADWAY/7 AV,,,0.339 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.237 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,
