,MADISON AV/E 101 ST,MADISON AV/E 42 ST,MADISON AV/E 67 ST,CENTRAL PK N/5 AV,FT WASHINGTON AV/W 165 ST,BROADWAY/W 114 ST,BROADWAY/W 153 ST,5 AV/W 46 ST,FT TRYON PARK/CAFE LOT,FT WASHINGTON AV/W 160 ST,5 AV/W 52 ST,BROADWAY / W 123 ST,FT WASHINGTON AV/W 190 ST,5 AV/E 61 ST,BROADWAY/W 129 ST,MADISON AV/E 40  ST,MADISON AV/E 37 ST,E 110 ST/MADISON AV,MADISON AV/E 72 ST,MADISON AV/E 107 ST,5 AV/W 34 ST,MADISON AV/E 55  ST,FT WASHINGTON AV/W 162 ST,MADISON AV/E 104 ST,BROADWAY/LA SALLE ST,BROADWAY/W 161 ST,5 AV/W 38 ST,MADISON AV/E 106 ST,BROADWAY/W 151 ST,FT WASHINGTON AV/W 174 ST,BROADWAY/W 159 ST,5 AV/E 102 ST,BROADWAY/W 163 ST,BROADWAY/WEST 120 ST,FT WASHINGTON AV/W 164 ST,FT WASHINGTON AV/W 187 ST,FT WASHINGTON AV/W 173 ST,BROADWAY/W 116 ST,BROADWAY/W 122 ST,MADISON AV/E 52 ST,5 AV/E 104 ST,MADISON AV/E 57 ST,BROADWAY/W 147 ST,32 ST/MADISON AV,FT WASHINGTON AV/W 172 ST,MADISON AV/E 95 ST,FT WASHINGTON AV/W 175 ST,5 AV/E 96 ST,FT WASHINGTON AV/W 181 ST,BROADWAY/TIEMANN PL,MADISON AV/E 69 ST,FT WASHINGTON AV/W 183 ST,MADISON AV/E 45 ST,MADISON AV/E 66 ST,MADISON AV/E 93 ST,5 AV/E 98 ST,BROADWAY/W 137 ST,FT WASHINGTON AV/W 177 ST,MADISON AV/E 63 ST,5 AV/E 77 ST,5 AV/E 94 ST,BROADWAY/W 142 ST,5 AV/E 81 ST,5 AV/E 92 ST,CATHEDRAL PY/BROADWAY,FT WASHINGTON AV/W 171 ST,CENTRAL PK N/ADAM C POWELL BL,BROADWAY/W 133 ST,CATHEDRAL PY/AMSTERDAM AV,5 AV/W 41 ST,MADISON AV/E 47 ST,5 AV/E 84 ST,BROADWAY / W 135 ST,FT WASHINGTON AV/W 170 ST,MADISON AV/E 102 ST,BROADWAY/W 150 ST,BROADWAY/W 131 ST,E 32 ST/5 AV,5 AV/E 63 ST,BROADWAY/W 157 ST,BROADWAY/W 152 ST,CATHEDRAL PY/FRED DOUGLASS BL,MADISON AV/E 91 ST,MADISON AV/E 81 ST,BROADWAY/W 138 ST,BROADWAY/W 155 ST,110 ST/CENTRAL PK W,BROADWAY/W 112 ST,5 AV/E 75 ST,BROADWAY/W 113 ST,5 AV/W 59 ST,MADISON AV/E 74 ST,MADISON AV/E 89 ST,MADISON AV/E 83 ST,5 AV/W 49 ST,5 AV/E 72 ST,MADISON AV/E 77 ST,BROADWAY/W 140 ST,BROADWAY/W 141 ST,BROADWAY/W 145 ST,CATHEDRAL PY/MANHATTAN AV,BROADWAY/W 143 ST,5 AV/E 87 ST,CATHEDRAL PY/COLUMBUS AV,CATHEDRAL PY/MORNINGSIDE DR,MADISON AV/E 86 ST,5 AV/W 56 ST,MADISON AV/E 60  ST,5 AV/E 108 ST,FT WASHINGTON AV/W 185 ST,MADISON AV/E 49 ST,BROADWAY/W 120 ST,MARGARET CORBIN DR/CLOISTERS,5 AV/E 69 ST,CENTRAL PK N/MALCOLM X BL,FT WASHINGTON AV/CABRINI BL,5 AV/W 66 ST,5 AV/E 106 ST,FT WASHINGTON AV/W 168 ST,MADISON AV/E 98 ST,BROADWAY/W 139 ST,5 AV/E 90 ST,5 AV/W 44 ST,BROADWAY/W 149 ST,FT TRYON PARK/OPP CAFE LOT,MADISON AV/E 34 ST,Michael J. Quill Depot (MQ)
FT WASHINGTON AV/W 177 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,0.359 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 63 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 77 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 142 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 81 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 92 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,
CATHEDRAL PY/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,1.291 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT WASHINGTON AV/W 171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK N/ADAM C POWELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,
BROADWAY/W 133 ST,,,,,,,,,,,,,,,0.289 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.366 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHEDRAL PY/AMSTERDAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 41 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,
5 AV/E 84 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.651 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY / W 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,0.491 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT WASHINGTON AV/W 170 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,
MADISON AV/E 102 ST,,,,,,,,,,,,,,,,,,,,,,,,0.099 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 150 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.453 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 131 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 32 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 63 ST,,,,,,,,,,,,,,0.171 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 157 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 152 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHEDRAL PY/FRED DOUGLASS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 91 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 81 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.638 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 155 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 WSHNGTN HTS CABRINI via MADISON via BWAY,0.329 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110 ST/CENTRAL PK W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 112 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 75 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 113 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 59 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 74 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 83 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,
5 AV/W 49 ST,,,,,,,,0.273 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 72 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,
MADISON AV/E 77 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 140 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 141 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 145 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,0.571 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHEDRAL PY/MANHATTAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.502 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,0.677 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 143 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 87 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHEDRAL PY/COLUMBUS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.732 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHEDRAL PY/MORNINGSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.738 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 56 ST,,,,,,,,,,,0.25 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 60  ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,
FT WASHINGTON AV/W 185 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,0.173 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 49 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 120 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARGARET CORBIN DR/CLOISTERS,,,,,,,,,0.324 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 69 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,
CENTRAL PK N/MALCOLM X BL,,,,0.447 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT WASHINGTON AV/CABRINI BL,,,,,,,,,,,,,0.247 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.205 WSHNGTN HTS CABRINI via MADISON via BWAY,,
5 AV/W 66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT WASHINGTON AV/W 168 ST,,,,,0.19 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 98 ST,0.238 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 139 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 90 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 44 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 MIDTOWN  32 ST & 5 AV via BWAY 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 WSHNGTN HTS CABRINI via MADISON via BWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
