,10 AV/W 55 ST,AMSTERDAM AV/W 79 ST,9 AV/W 59 ST,BETHUNE ST/GREENWICH ST,AMSTERDAM AV/W 120 ST,AMSTERDAM AV/W 81 ST,AMSTERDAM AV/W 102 ST,AMSTERDAM AV/W 69 ST,COLUMBUS AV/W 61 ST,9 AV/W 20 ST,COLUMBUS AV/W 78 ST,AMSTERDAM AV/W 125 ST,AMSTERDAM AV/W 65 ST,AMSTERDAM AV/W 62 ST,AMSTERDAM AV/W 123 ST,COLUMBUS AV/W 94 ST,AMSTERDAM AV/W 75 ST,W 14 ST/10 AV,10 AV/W 19 ST,AMSTERDAM AV/W 118 ST,AMSTERDAM AV/W 116 ST,RIVERSIDE DR/W 139 ST,COLUMBUS AV/CATHEDRAL PY,10 AV/WEST 16 ST,COLUMBUS AV/W 66 ST,COLUMBUS AV/W 75 ST,10 AV/W 25 ST,10 AV/W 40 ST,GREENWICH ST/HORATIO ST,9 AV/W 40 ST,10 AV/W 53 ST,10 AV/W 45 ST,AMSTERDAM AV/W 114 ST,W 135 ST/RIVERSIDE DR,10 AV/W 37 ST,HUDSON ST/BETHUNE ST,COLUMBUS AV/W 80 ST,AMSTERDAM AV/W 86 ST,W 14 ST/9 AV,COLUMBUS AV/W 97 ST,COLUMBUS AV/W 92 ST,CATHEDRAL PY/AMSTERDAM AV,9 AV/W 50 ST,10 AV/W 21 ST,9 AV/W 30 ST,AMSTERDAM AV/W 83 ST,AMSTERDAM AV/LA SALLE ST,COLUMBUS AV/W 102 ST,HUDSON ST/W 13 ST,9 AV/W 44 ST,W 135 ST/BROADWAY,COLUMBUS AV/W 84 ST,AMSTERDAM AV/W 100 ST,W 133 ST/AMSTERDAM AV,RIVERSIDE DR/W 142 ST,9 AV/W 23 ST,9 AV/W 25 ST,AMSTERDAM AV/W 112 ST,10 AV/W 30 ST,AMSTERDAM AV/W 96 ST,RIVERSIDE DR/W 145 ST,AMSTERDAM AV/W 106 ST,AMSTERDAM AV/W 77 ST,10 AV/W 57 ST,AMSTERDAM AV/W 131 ST,COLUMBUS AV/W 89 ST,9 AV/W 46 ST,COLUMBUS AV/W 106 ST,HUDSON ST/HORATIO ST,10 AV/W 42 ST,W 135 ST/AMSTERDAM AV,COLUMBUS AV/W 72 ST,9 AV/W 34 ST,10 AV/W 23 ST,RIVERBANK/STATE PARK,COLUMBUS AV/W 86 ST,AMSTERDAM AV/W 72 ST,AMSTERDAM AV/W 67 ST,AMSTERDAM AV/W 129 ST,9 AV/W 18 ST,9 AV/W 35 ST,10 AV/W 27 ST,9 AV/W 55 ST,AMSTERDAM AV/W 104 ST,RIVERSIDE DR/W 137 ST,10 AV/W 49 ST,9 AV/W 28 ST,AMSTERDAM AV/W 89 ST,10 AV/W 47 ST,COLUMBUS AV/W 63 ST,COLUMBUS AV/W 100 ST,AMSTERDAM AV/W 59 ST,AMSTERDAM AV/W 109 ST,AMSTERDAM AV/W 93 ST,BROADWAY/W 133 ST,COLUMBUS AV/W 69 ST,AMSTERDAM AV/W 98 ST,AMSTERDAM AV/W 91 ST,10 AV/W 34 ST,RIVERSIDE DR/W 144 ST,9 AV/W 42 ST,9 AV/W 52 ST,9 AV/W 57 ST,COLUMBUS AV/W 108 ST,Michael J. Quill Depot (MQ)
AMSTERDAM AV/W 125 ST,,,,,,,,,,,,,,,0.293 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 65 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 62 ST,,,,,,,,,,,,,0.237 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 123 ST,,,,,0.2 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 75 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 14 ST/10 AV,,,,,,,,,,,,,,,,,,,,,,,,0.175 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 19 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 118 ST,,,,,0.179 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,0.195 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 116 ST,,,,,,,,,,,,,,,,,,,,0.195 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,0.167 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 139 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.064 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,0.439 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/CATHEDRAL PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 WEST VILLAGE ABINGDON SQ via 9 AV,
10 AV/WEST 16 ST,,,,,,,,,,,,,,,,,,,0.224 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,
COLUMBUS AV/W 75 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 25 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 40 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.139 to depot of M11
GREENWICH ST/HORATIO ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 40 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.394 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 53 ST,0.183 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 45 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 114 ST,,,,,,,,,,,,,,,,,,,,,0.167 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 135 ST/RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 RIVERBANK 145 ST via 10 AV,,,,,,,,,,0.392 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,
10 AV/W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDSON ST/BETHUNE ST,,,,0.068 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 80 ST,,,,,,,,,,,0.214 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,
W 14 ST/9 AV,,,,,,,,,,,,,,,,,,0.573 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 97 ST,,,,,,,,,,,,,,,,0.212 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 92 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHEDRAL PY/AMSTERDAM AV,,,,,,,,,,,,,,,,,,,,,,,0.302 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 21 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 30 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 83 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/LA SALLE ST,,,,,,,,,,,,0.096 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,
HUDSON ST/W 13 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 44 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 WEST VILLAGE ABINGDON SQ via 9 AV,,,,
W 135 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.523 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 84 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 100 ST,,,,,,,0.151 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 133 ST/AMSTERDAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341 RIVERBANK 145 ST via 10 AV,,,,,,,,,,
RIVERSIDE DR/W 142 ST,,,,,,,,,,,,,,,,,,,,,,0.713 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.166 RIVERBANK 145 ST via 10 AV,,,,,
9 AV/W 23 ST,,,,,,,,,,0.238 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 25 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 112 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 RIVERBANK 145 ST via 10 AV,,,,,,,,,0.703 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 30 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375 RIVERBANK 145 ST via 10 AV,,,,,,
AMSTERDAM AV/W 96 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 RIVERBANK 145 ST via 10 AV,,,,,,,,
RIVERSIDE DR/W 145 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,
AMSTERDAM AV/W 77 ST,,0.151 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,
AMSTERDAM AV/W 131 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327 RIVERBANK 145 ST via 10 AV,,,,,,,,0.194 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 46 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDSON ST/HORATIO ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 AV/W 42 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 135 ST/AMSTERDAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,0.327 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
