,WEST THAMES ST/SOUTH END AV,PARK ROW/WORTH ST,AV C/E 5 ST,AV C/E 11 ST,AV C/E 7 ST,1 AV/E 23 ST,E HOUSTON ST/NORFOLK ST,AV C/E 6 ST,AV C/E 14 ST,SOUTH END AV/ALBANY ST,MURRAY ST/CHURCH ST,AV C/E 3 ST,AV C/E 12 ST,AV C/E 20 ST,ESSEX ST/ E BROADWAY,AVENUE C/E 23 ST,1 AV/E 26 ST,AV C/E 8 ST,E BROADWAY/MARKET ST,AV C/FDR DRIVE,PARK ROW/BEEKMAN ST,E HOUSTON ST/RIDGE ST,ESSEX ST/DELANCEY ST,PARK ROW/ST JAMES PL,MURRAY ST/GREENWICH ST,E BROADWAY/CATHERINE ST,E 20 ST/E 20 ST LOOP,WARREN ST/CHURCH ST,E 29 ST/2 AV,AV C/E 18 ST,E HOUSTON ST/AV B,E HOUSTON ST/CLINTON ST,E BROADWAY/FORSYTH ST,1 AV/E 27 ST,AV C/E 16 ST,E 23 ST/1 AV,ESSEX ST/E HOUSTON ST,E BROADWAY/PIKE ST,E 29 ST/1 AV,WARREN ST/GREENWICH ST,ESSEX ST/CANAL ST,ESSEX ST/GRAND ST,E HOUSTON ST/AV C,E 23 ST/2 AV,AV C/E 10 ST,Michael J. Quill Depot (MQ)
WARREN ST/CHURCH ST,,,,,,,,,,,,,,,,,,,,,0.754 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,,,,,,,,,,,,,,,,,,
E 29 ST/2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.476 BATTERY PK CITY via AVENUE C via PK ROW,,5.753 to depot of M9
AV C/E 18 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.703 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,
E HOUSTON ST/AV B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,
E HOUSTON ST/CLINTON ST,,,,,,,,,,,,,,,,,,,,,,0.77 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,,,,,,,,,,,,,,,,,
E BROADWAY/FORSYTH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,
1 AV/E 27 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,
AV C/E 16 ST,,,,,,,,,0.173 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,0.924 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,,,,,,,,,,,,,,,,,,,
E 23 ST/1 AV,,,,,,,,,,,,,,,,0.331 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESSEX ST/E HOUSTON ST,,,,,,,,,,,,,,,,,,,,,,,0.454 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,,,,,,,,
E BROADWAY/PIKE ST,,,,,,,,,,,,,,,,,,,0.153 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,,,,,,,0.257 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,
E 29 ST/1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,,
WARREN ST/GREENWICH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,,,,,,,,,,,
ESSEX ST/CANAL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,
ESSEX ST/GRAND ST,,,,,,,,,,,,,,,0.299 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,0.211 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,,,,,,,,,,,,,,,,
E HOUSTON ST/AV C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,
E 23 ST/2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,
AV C/E 10 ST,,,,,,,,,,,,,,,,,,0.15 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.416 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,,
