,FRED DOUGLASS BL/W 154 ST,FREDERICK DOUGLASS/W 121 ST,CENTRAL PK W/W 63 ST,FRED DOUGLASS BL/W 142 ST,BROADWAY/WEST 57 ST,FRED DOUGLASS BL/W 153 ST,BROADWAY/W 61 ST,FRED DOUGLASS BL/W 127 ST,CENTRAL PK W/W 104 ST,FREDERICK DOUGLASS BL/W 116 ST,CENTRAL PK W/W 69 ST,FRED DOUGLASS BL/W 123 ST,FRED DOUGLASS BL/W 152 ST,FRED DOUGLASS BL/W 112 ST,CENTRAL PK W/W 74 ST,CENTRAL PK W/W 84 ST,FRED DOUGLASS BL/W 116 ST,FRED DOUGLASS BL/W 121 ST,FRED DOUGLASS BL/W 129 ST,FRED DOUGLASS BL/W 140 ST,CENTRAL PK W/W 81 ST,BROADWAY/W 63 ST,FRED DOUGLASS BL/W 158 ST,CENTRAL PK W/W 79 ST,CENTRAL PK W/W 77 ST,CENTRAL PK W/W 66 ST,CENTRAL PK W/COLUMBUS CIR,FRED DOUGLASS BL/W 148 ST,FREDERICK DOUGLASS BL/114 ST,CENTRAL PK W/W 64 ST,CENTRAL PK W/W 75 ST,FRED DOUGLASS BL/W 138 ST,CENTRAL PK W/W 97 ST,CENTRAL PK W/W 72 ST,COLUMBUS CIR/8 AV,FRED DOUGLASS BL/W 133 ST,FRED DOUGLASS BL/W 128 ST,FRED DOUGLASS BL/W 119 ST,CENTRAL PK W/W 96 ST,CENTRAL PK W/W 67 ST,CENTRAL PK W/W 70 ST,FRED DOUGLASS BL/W 111 ST,FRED DOUGLASS BL/W 131 ST,FRED DOUGLASS BL/W 141 ST,FRED DOUGLASS BL/MACOMBS PL,FRED DOUGLASS BL/W 155 ST,CENTRAL PK W/W 102 ST,CENTRAL PK W/W 100 ST,CENTRAL PK W/W 92 ST,FRED DOUGLASS BL/W 113 ST,FRED DOUGLASS BL/W 125 ST,CENTRAL PK W/CATHEDRAL PY,FRED DOUGLASS BL/W 145 ST,CENTRAL PK W/W 88 ST,CENTRAL PK W/W 90 ST,FRED DOUGLASS BL/W 135 ST,FRED DOUGLASS BL/W 143 ST,CENTRAL PK W/W 106 ST,CENTRAL PK W/W 94 ST,FRED DOUGLASS BL/W 150 ST,FREDERICK DOUGLASS BL/125 ST,CENTRAL PK W/W 108 ST,FRED DOUGLASS BL/W 147 ST,CENTRAL PK W/W 86 ST,8 AV/W  57 ST,CENTRAL PK W/W 68 ST,FRED DOUGLASS BL/CATHEDRAL PY,Michael J. Quill Depot (MQ)
FRED DOUGLASS BL/W 121 ST,,,,,,,,,,,,0.209 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 129 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096 57 ST-BROADWAY via CENTRAL PK W.,,,,,,0.138 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 140 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 81 ST,,,,,,,,,,,,,,,,0.336 HARLEM 159 ST via 8 AV,,,,,,,,0.15 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 63 ST,,,,,,,0.207 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 158 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 79 ST,,,,,,,,,,,,,,,,,,,,,0.15 HARLEM 159 ST via 8 AV,,,,0.23 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 77 ST,,,,,,,,,,,,,,,0.277 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,0.23 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.698 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/COLUMBUS CIR,,,0.274 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 148 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,
FREDERICK DOUGLASS BL/114 ST,,,,,,,,,,,,,,0.16 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 64 ST,,,,,,,,,,,,,,,,,,,,,,0.177 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 75 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.166 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 HARLEM 159 ST via 8 AV,,,,,,,,,,,,0.296 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,
CENTRAL PK W/W 97 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,
CENTRAL PK W/W 72 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 HARLEM 159 ST via 8 AV,,,,,,,,,,0.167 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS CIR/8 AV,,,,,0.18 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 133 ST,,,,,,,,,,,,,,,,,,,0.295 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 HARLEM 159 ST via 8 AV,,,,,,,,,,,,
FRED DOUGLASS BL/W 128 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,
FRED DOUGLASS BL/W 119 ST,,,,,,,,,,0.228 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,0.16 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 96 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 67 ST,,,,,,,,,,,0.16 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 70 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.655 57 ST-BROADWAY via CENTRAL PK W.,,
FRED DOUGLASS BL/W 111 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 131 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 141 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121 HARLEM 159 ST via 8 AV,,,,,,,,,,,
FRED DOUGLASS BL/MACOMBS PL,,,,,,0.259 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 155 ST,0.542 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,0.843 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 102 ST,,,,,,,,,0.163 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 100 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.418 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,0.203 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 92 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 57 ST-BROADWAY via CENTRAL PK W.,,,,0.159 HARLEM 159 ST via 8 AV,,,,,,,,,
FRED DOUGLASS BL/W 113 ST,,,,,,,,,,,,,,,,,0.21 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 125 ST,,,,,,,,0.204 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/CATHEDRAL PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 145 ST,,,,0.29 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,0.291 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 88 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121 HARLEM 159 ST via 8 AV,,,,,,,,,0.203 57 ST-BROADWAY via CENTRAL PK W.,,,,
CENTRAL PK W/W 90 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 HARLEM 159 ST via 8 AV,,,,,0.121 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296 HARLEM 159 ST via 8 AV,,,,0.223 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 143 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,
CENTRAL PK W/W 106 ST,,,,,,,,,0.16 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098 HARLEM 159 ST via 8 AV,,,,,,
CENTRAL PK W/W 94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 HARLEM 159 ST via 8 AV,,,,,,,,,,0.159 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 150 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 57 ST-BROADWAY via CENTRAL PK W.,,,,,
FREDERICK DOUGLASS BL/125 ST,,0.346 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 HARLEM 159 ST via 8 AV,,,,,,0.098 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,
FRED DOUGLASS BL/W 147 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,
CENTRAL PK W/W 86 ST,,,,,,,,,,,,,,,,0.133 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,
8 AV/W  57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 68 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/CATHEDRAL PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 57 ST-BROADWAY via CENTRAL PK W.,,,,,,
Michael J. Quill Depot (MQ),,,,,2.308 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
