route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
S59,YU_F0-Sunday-069000_S59_2,YU_F0-Sunday,HYLAN BL,1,S590580,0.0,0
S59,YU_F0-Sunday-069000_S59_5,YU_F0-Sunday,PORT RICHMOND,0,S590567,0.0,0
S61,YU_F0-Sunday-069000_S6191_2,YU_F0-Sunday,S I MALL YUKON AV,1,S610205,0.0,0
SIM1C,YU_F0-Sunday-069000_SIM1_10,YU_F0-Sunday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S79+,YU_F0-Sunday-069200_SBS79_6,YU_F0-Sunday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S79+,YU_F0-Sunday-070100_SBS79_12,YU_F0-Sunday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S79+,YU_F0-Sunday-070200_SBS79_7,YU_F0-Sunday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S61,YU_F0-Sunday-070500_MISC_119,YU_F0-Sunday,ST GEORGE FERRY,0,S610203,0.0,0
S61,YU_F0-Sunday-070500_MISC_153,YU_F0-Sunday,S I MALL YUKON AV,1,S610205,0.0,0
S44,YU_F0-Sunday-070500_S4494_12,YU_F0-Sunday,S I MALL YUKON AV,1,S440226,0.0,0
S44,YU_F0-Sunday-070500_S4494_6,YU_F0-Sunday,ST GEORGE FERRY,0,S440225,0.0,0
S62,YU_F0-Sunday-070500_S6292_4,YU_F0-Sunday,ST GEORGE FERRY via VICTORY,0,S620548,0.0,0
SIM1C,YU_F0-Sunday-071000_MISC_102,YU_F0-Sunday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
SIM1C,YU_F0-Sunday-071000_SIM1_29,YU_F0-Sunday,MIDTOWN via CHURCH ST via 6 AV,0,SIM1C0085,0.0,0
S79+,YU_F0-Sunday-071200_SBS79_8,YU_F0-Sunday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S79+,YU_F0-Sunday-071300_SBS79_1,YU_F0-Sunday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S44,YU_F0-Sunday-072000_MISC_112,YU_F0-Sunday,S I MALL YUKON AV,1,S440226,0.0,0
S61,YU_F0-Sunday-072000_MISC_117,YU_F0-Sunday,S I MALL YUKON AV,1,S610205,0.0,0
S61,YU_F0-Sunday-072000_MISC_122,YU_F0-Sunday,ST GEORGE FERRY,0,S610203,0.0,0
S62,YU_F0-Sunday-072000_MISC_134,YU_F0-Sunday,TRAVIS via VICTORY,1,S620549,0.0,0
S59,YU_F0-Sunday-072000_MISC_135,YU_F0-Sunday,PORT RICHMOND,0,S590567,0.0,0
S57,YU_F0-Sunday-072000_MISC_138,YU_F0-Sunday,PORT RICHMOND,0,S570226,0.0,0
S44,YU_F0-Sunday-072000_S4494_3,YU_F0-Sunday,ST GEORGE FERRY,0,S440225,0.0,0
S57,YU_F0-Sunday-072000_S57_1,YU_F0-Sunday,NEW DORP MILL RD,1,S570234,0.0,0
S59,YU_F0-Sunday-072000_S59_1,YU_F0-Sunday,HYLAN BL,1,S590580,0.0,0
S79+,YU_F0-Sunday-072400_SBS79_9,YU_F0-Sunday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S79+,YU_F0-Sunday-072500_SBS79_15,YU_F0-Sunday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
SIM1C,YU_F0-Sunday-073000_MISC_120,YU_F0-Sunday,MIDTOWN via CHURCH ST via 6 AV,0,SIM1C0085,0.0,0
SIM1C,YU_F0-Sunday-073000_SIM1_13,YU_F0-Sunday,ELTNGVLLE TRANS CTR  via HYLAN via RICH,1,SIM1C0087,0.0,0
S62,YU_F0-Sunday-073500_MISC_103,YU_F0-Sunday,ST GEORGE FERRY via VICTORY,0,S620548,0.0,0
S61,YU_F0-Sunday-073500_MISC_169,YU_F0-Sunday,S I MALL YUKON AV,1,S610205,0.0,0
S44,YU_F0-Sunday-073500_S4494_1,YU_F0-Sunday,S I MALL YUKON AV,1,S440226,0.0,0
S44,YU_F0-Sunday-073500_S4494_4,YU_F0-Sunday,ST GEORGE FERRY,0,S440225,0.0,0
S61,YU_F0-Sunday-073500_S6191_10,YU_F0-Sunday,ST GEORGE FERRY,0,S610203,0.0,0
S79+,YU_F0-Sunday-073600_SBS79_16,YU_F0-Sunday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S79+,YU_F0-Sunday-073700_SBS79_5,YU_F0-Sunday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
S79+,YU_F0-Sunday-074800_SBS79_10,YU_F0-Sunday,SELECT BUS BAY RIDGE 86 ST STATION,0,SBS790364,0.0,0
S79+,YU_F0-Sunday-074900_SBS79_4,YU_F0-Sunday,SELECT BUS SI MALL via HYLAN,1,SBS790376,0.0,0
SIM1C,YU_F0-Sunday-075000_MISC_105,YU_F0-Sunday,MIDTOWN via CHURCH ST via 6 AV,0,SIM1C0085,0.0,0
S57,YU_F0-Sunday-075000_MISC_110,YU_F0-Sunday,NEW DORP MILL RD,1,S570234,0.0,0
S44,YU_F0-Sunday-075000_MISC_118,YU_F0-Sunday,S I MALL YUKON AV,1,S440226,0.0,0
S61,YU_F0-Sunday-075000_MISC_123,YU_F0-Sunday,ST GEORGE FERRY,0,S610203,0.0,0
