ID,Timestamp,Route,Next stop,Destination,Bearing,Longitude,Latitude
11,2020-06-19T12:59:50.000-04:00,M50,E 50 ST/2 AV,EAST SIDE 49 ST-1 AV CROSSTOWN,336.60843,-73.969953,40.755474
4959,2020-06-19T13:00:26.000-04:00,M14D-SBS,COLUMBIA ST/RIVINGTON ST,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,62.500862,-73.980326,40.71689
4964,2020-06-19T13:00:48.000-04:00,M60-SBS,DITMARS BL/GRAND CENTRAL PY,SELECT BUS WEST SIDE BROADWAY-106 ST,287.65012,-73.885991,40.772488
11,2020-06-19T13:00:52.000-04:00,M50,E 49 ST/3 AV,WEST SIDE 42 ST PIER CROSSTOWN,157.01128,-73.969702,40.754544
4959,2020-06-19T13:00:56.000-04:00,M14D-SBS,AV D/E HOUSTON ST,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,63.29486,-73.979841,40.717823
4964,2020-06-19T13:01:18.000-04:00,M60-SBS,DITMARS BL/GRAND CENTRAL PY,SELECT BUS WEST SIDE BROADWAY-106 ST,282.4074,-73.885352,40.77111
11,2020-06-19T13:01:23.000-04:00,M50,E 49 ST/3 AV,WEST SIDE 42 ST PIER CROSSTOWN,157.01128,-73.969702,40.754544
4959,2020-06-19T13:01:58.000-04:00,M14D-SBS,AV D/E HOUSTON ST,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,62.77132,-73.978872,40.71972
4964,2020-06-19T13:01:49.000-04:00,M60-SBS,DITMARS BL/GRAND CENTRAL PY,SELECT BUS WEST SIDE BROADWAY-106 ST,282.4074,-73.885293,40.770843
11,2020-06-19T13:01:53.000-04:00,M50,49 ST/1 AV,EAST SIDE 49 ST-1 AV CROSSTOWN,234.02762,-73.968904,40.754359
4959,2020-06-19T13:02:29.000-04:00,M14D-SBS,AV D/E HOUSTON ST,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,62.77132,-73.978872,40.71972
4964,2020-06-19T13:02:50.000-04:00,M60-SBS,DITMARS BL/GRAND CENTRAL PY,SELECT BUS WEST SIDE BROADWAY-106 ST,187.59465,-73.887868,40.768449
11,2020-06-19T13:01:53.000-04:00,M50,49 ST/1 AV,EAST SIDE 49 ST-1 AV CROSSTOWN,234.02762,-73.968904,40.754359
4959,2020-06-19T13:02:59.000-04:00,M14D-SBS,AV D/E 5 ST,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,53.92399,-73.978447,40.720365
4964,2020-06-19T13:03:21.000-04:00,M60-SBS,DITMARS BL/GRAND CENTRAL PY,SELECT BUS WEST SIDE BROADWAY-106 ST,187.59465,-73.887868,40.768449
11,2020-06-19T13:01:53.000-04:00,M50,49 ST/1 AV,EAST SIDE 49 ST-1 AV CROSSTOWN,234.02762,-73.968904,40.754359
4959,2020-06-19T13:04:00.000-04:00,M14D-SBS,AV D/E 5 ST,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,53.506817,-73.977162,40.722135
4964,2020-06-19T13:03:51.000-04:00,M60-SBS,DITMARS BL/GRAND CENTRAL PY,SELECT BUS WEST SIDE BROADWAY-106 ST,193.24052,-73.888075,40.768405
11,2020-06-19T13:04:10.000-04:00,M50,49 ST/1 AV,EAST SIDE 49 ST-1 AV CROSSTOWN,337.52057,-73.967494,40.752797
4959,2020-06-19T13:04:30.000-04:00,M14D-SBS,AV D/E 5 ST,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,53.506817,-73.97715,40.722151
4964,2020-06-19T13:04:53.000-04:00,M60-SBS,DITMARS BL/GRAND CENTRAL PY,SELECT BUS WEST SIDE BROADWAY-106 ST,287.54324,-73.887985,40.76756
11,2020-06-19T13:04:40.000-04:00,M50,49 ST/1 AV,EAST SIDE 49 ST-1 AV CROSSTOWN,48.17983,-73.966904,40.752962
4959,2020-06-19T13:05:01.000-04:00,M14D-SBS,E 10 ST/AV D,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,53.583622,-73.976456,40.723103
4964,2020-06-19T13:05:24.000-04:00,M60-SBS,DITMARS BL/GRAND CENTRAL PY,SELECT BUS WEST SIDE BROADWAY-106 ST,287.54324,-73.887952,40.767455
11,2020-06-19T13:05:11.000-04:00,M50,E 49 ST/2 Av,WEST SIDE 42 ST PIER CROSSTOWN,157.49825,-73.967343,40.75356
4959,2020-06-19T13:06:01.000-04:00,M14D-SBS,E 10 ST/AV D,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,53.652542,-73.975238,40.724763
4964,2020-06-19T13:05:54.000-04:00,M60-SBS,ASTORIA BL N/77 ST,SELECT BUS WEST SIDE BROADWAY-106 ST,195.42216,-73.888004,40.767155
11,2020-06-19T13:06:12.000-04:00,M50,E 49 ST/2 Av,WEST SIDE 42 ST PIER CROSSTOWN,157.49825,-73.967383,40.753577
4959,2020-06-19T13:06:32.000-04:00,M14D-SBS,AV C/E 11 ST,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,156.77203,-73.975546,40.725037
4964,2020-06-19T13:06:25.000-04:00,M60-SBS,ASTORIA BL N/77 ST,SELECT BUS WEST SIDE BROADWAY-106 ST,189.97206,-73.890067,40.766721
11,2020-06-19T13:06:42.000-04:00,M50,E 49 ST/2 Av,WEST SIDE 42 ST PIER CROSSTOWN,157.49825,-73.967343,40.75356
4959,2020-06-19T13:07:03.000-04:00,M14D-SBS,AV C/E 11 ST,SELECT BUS CHLSEA PIERS  11 AV via 14 ST,156.77203,-73.975546,40.725037
4964,2020-06-19T13:07:26.000-04:00,M60-SBS,ASTORIA BL N/77 ST,SELECT BUS WEST SIDE BROADWAY-106 ST,174.47246,-73.89205,40.766653
