"Route","Average Weekday Ridership, 2011","Average Weekday Ridership, 2016","Ridership Change, 2011-2016","On-Time Performance 2016","Wait Assessment 2016","Average Speed (mph)","Length of Route (in miles)","Frequency during AM Rush, Buses per Hour (7:30am to 8:30am)","Frequency in the Evening, Buses per Hour (8:30pm to 10:30pm)","# of Stops along Route","Average Distance Between Stops (in feet)","# of Turns along Route","Bus Stops within .1 Miles of a Subway Station","# of Subway lines that intersect the Route","Borough","MTA Service Standard: Minimum Desired Distance Between Stops (750 feet)","","","","","","","","","",""
"B7","5,951","6,066","2%","60%","77%","7","6.8","5","3","56","653","12","4","4","Brooklyn","750","","","","","","","","","",""
"B8","19,645","19,616","0%","62%","79%","6","10.0","11","6","79","681","19","9","8","Brooklyn","750","","","","","","","","","",""
"B9","13,441","14,404","7%","64%","81%","6","8.0","7","4","56","772","11","5","4","Brooklyn","750","","","","","","","","","",""
"B11","11,722","11,273","-4%","60%","78%","5","5.8","11","4","42","760","15","5","6","Brooklyn","750","","","","","","","","","",""
"B12","17,954","15,380","-14%","50%","73%","5","4.3","12","5","33","719","10","4","4","Brooklyn","750","","","","","","","","","",""
"B13","5,115","6,290","23%","62%","81%","7","8.8","5","3","62","762","25","13","5","Brooklyn","750","","","","","","","","","",""
"B14","7,571","7,243","-4%","58%","76%","5","5.2","5","3","46","620","10","5","3","Brooklyn","750","","","","","","","","","",""
"B15","21,985","22,282","1%","51%","73%","7","13.3","11","6","79","906","19","5","4","Brooklyn","750","","","","","","","","","",""
"B16","6,959","6,739","-3%","58%","76%","6","8.0","4","3","62","694","14","6","5","Brooklyn","750","","","","","","","","","",""
"B17","13,250","11,279","-15%","60%","78%","6","6.5","12","9","49","720","5","1","2","Brooklyn","750","","","","","","","","","",""
"B20","8,000","7,042","-12%","60%","78%","6","7.5","8","3","58","699","15","12","6","Brooklyn","750","","","","","","","","","",""
"B24","2,614","2,390","-9%","54%","74%","6","6.5","4","2","40","884","11","8","5","Brooklyn","750","","","","","","","","","",""
"B25","11,205","10,048","-10%","49%","73%","5","6.0","6","4","41","789","5","23","14","Brooklyn","750","","","","","","","","","",""
"B26","10,145","9,723","-4%","60%","81%","6","5.9","10","4","43","754","8","14","13","Brooklyn","750","","","","","","","","","",""
"B31","2,722","2,753","1%","80%","90%","8","2.9","7","3","23","687","2","1","2","Brooklyn","750","","","","","","","","","",""
"B32","0","819","","66%","81%","8","3.6","3","1","22","913","11","2","3","Brooklyn","750","","","","","","","","","",""
"B35","35,680","31,886","-11%","53%","75%","5","7.4","18","10","54","747","7","5","7","Brooklyn","750","","","","","","","","","",""
"B36","15,030","14,026","-7%","69%","82%","7","5.8","15","4","42","758","10","1","2","Brooklyn","750","","","","","","","","","",""
"B37","0","2,380","","65%","80%","7","6.3","3","3","42","821","4","1","3","Brooklyn","750","","","","","","","","","",""
"B38","20,663","19,099","-8%","59%","79%","6","8.0","21","6","50","867","8","12","13","Brooklyn","750","","","","","","","","","",""
"B39","0","260","","","","6","1.8","3","1","4","3,858","0","1","3","Brooklyn","750","","","","","","","","","",""
"B41","33,898","27,082","-20%","50%","73%","7","10.5","19","8","53","1,067","3","12","13","Brooklyn","750","","","","","","","","","",""
"B42","4,473","4,186","-6%","","","7","1.3","17","8","11","738","4","1","1","Brooklyn","750","","","","","","","","","",""
"B43","10,787","10,540","-2%","60%","78%","6","6.8","8","5","52","710","10","6","7","Brooklyn","750","","","","","","","","","",""
"B44","39,516","37,418","-5%","60%","76%","6","10.3","8","6","68","821","2","13","5","Brooklyn","750","","","","","","","","","",""
"B44 SBS","39,516","37,418","-5%","65%","83%","9","9.4","11","7","19","2,744","5","6","5","Brooklyn","750","","","","","","","","","",""
"B45","7,201","6,019","-16%","52%","72%","5","4.6","5","3","32","788","9","7","13","Brooklyn","750","","","","","","","","","",""
"B46","47,858","43,463","-9%","53%","74%","6","8.4","23","8","54","847","4","7","5","Brooklyn","750","","","","","","","","","",""
"B46 SBS","47,858","43,463","-9%","68%","84%","","6.0","26","10","14","2,547","3","1","2","Brooklyn","750","","","","","","","","","",""
"B47","11,691","10,436","-11%","53%","73%","6","7.8","8","4","58","721","11","5","4","Brooklyn","750","","","","","","","","","",""
"B48","3,145","3,851","22%","63%","81%","6","6.0","5","2","45","718","11","10","12","Brooklyn","750","","","","","","","","","",""
"B49","15,506","12,452","-20%","61%","76%","7","10.7","10","4","68","850","11","2","4","Brooklyn","750","","","","","","","","","",""
"B52","12,586","12,435","-1%","63%","82%","6","5.1","13","5","37","745","7","13","14","Brooklyn","750","","","","","","","","","",""
"B54","11,875","10,466","-12%","59%","82%","5","4.4","9","4","33","723","3","8","8","Brooklyn","750","","","","","","","","","",""
"B57","5,993","7,244","21%","55%","76%","6","8.0","5","2","55","793","11","5","8","Brooklyn","750","","","","","","","","","",""
