"Route","Average Weekday Ridership, 2011","Average Weekday Ridership, 2016","Ridership Change, 2011-2016","On-Time Performance 2016","Wait Assessment 2016","Average Speed (mph)","Length of Route (in miles)","Frequency during AM Rush, Buses per Hour (7:30am to 8:30am)","Frequency in the Evening, Buses per Hour (8:30pm to 10:30pm)","# of Stops along Route","Average Distance Between Stops (in feet)","# of Turns along Route","Bus Stops within .1 Miles of a Subway Station","# of Subway lines that intersect the Route","Borough","MTA Service Standard: Minimum Desired Distance Between Stops (750 feet)","","","","","","","","","",""
"Q83","9,361","8,664","-7%","76%","85%","8","7.0","17","6","46","836","7","4","3","Queens","750","","","","","","","","","",""
"Q84","4,897","4,441","-9%","76%","83%","10","5.4","8","4","43","680","4","2","2","Queens","750","","","","","","","","","",""
"Q85","12,822","11,820","-8%","68%","80%","9","9.6","16","8","53","975","10","1","2","Queens","750","","","","","","","","","",""
"Q88","10,803","11,010","2%","64%","77%","11","9.8","8","4","63","840","6","1","2","Queens","750","","","","","","","","","",""
"Q100*","3,791","4,129","9%","72%","85%","10","5.7","6","4","10","3,560","5","1","1","Queens","750","","","","","","","","","",""
"Q101*","3,436","3,632","6%","63%","82%","6","5.4","5","3","26","1,149","5","7","6","Queens","750","","","","","","","","","",""
"Q102*","2,462","2,663","8%","65%","81%","7","5.6","4","3","39","785","26","13","7","Queens","750","","","","","","","","","",""
"Q103*","544","1,385","155%","86%","90%","8","3.5","5","2","27","717","8","4","2","Queens","750","","","","","","","","","",""
"Q104*","2,125","2,296","8%","78%","87%","7","2.8","4","2","23","674","5","4","5","Queens","750","","","","","","","","","",""
"Q110*","6,900","6,281","-9%","56%","77%","8","5.3","16","4","36","805","4","4","3","Queens","750","","","","","","","","","",""
"Q111*","14,470","12,390","-14%","50%","73%","8","10.3","20","6","59","938","5","1","1","Queens","750","","","","","","","","","",""
"Q112*","5,512","5,217","-5%","47%","70%","6","4.0","9","3","33","663","7","8","1","Queens","750","","","","","","","","","",""
"Q113*","11,196","4,569","-59%","37%","65%","11","10.3","3","2","17","3,388","16","1","1","Queens","750","","","","","","","","","",""
"Q114*","0","6,396","","44%","70%","9","13.2","4","4","67","1,062","19","2","2","Queens","750","","","","","","","","","",""
"S40","4,559","4,629","2%","69%","84%","12","7.8","5","3","48","882","3","0","0","Staten Island","750","","","","","","","","","",""
"S42","906","914","1%","77%","88%","10","3.4","3","2","23","842","13","0","0","Staten Island","750","","","","","","","","","",""
"S44","6,755","7,016","4%","62%","78%","10","10.9","6","3","60","974","14","0","0","Staten Island","750","","","","","","","","","",""
"S46","7,126","7,299","2%","67%","81%","9","10.0","7","3","57","951","14","0","0","Staten Island","750","","","","","","","","","",""
"S48","7,765","7,702","-1%","67%","82%","9","6.8","5","3","46","801","9","0","0","Staten Island","750","","","","","","","","","",""
"S51","4,364","4,169","-4%","67%","84%","11","8.7","8","3","55","852","11","0","0","Staten Island","750","","","","","","","","","",""
"S52","3,259","3,450","6%","64%","81%","9","9.0","5","3","60","812","26","0","0","Staten Island","750","","","","","","","","","",""
"S53","9,763","9,378","-4%","77%","87%","10","9.4","10","6","47","1,081","11","1","1","Staten Island","750","","","","","","","","","",""
"S54","1,621","1,315","-19%","69%","81%","11","11.5","4","2","69","894","18","0","0","Staten Island","750","","","","","","","","","",""
"S55","529","355","-33%","70%","84%","15","10.5","2","0","39","1,455","10","0","0","Staten Island","750","","","","","","","","","",""
"S56","661","515","-22%","72%","87%","14","9.2","3","0","40","1,259","11","0","0","Staten Island","750","","","","","","","","","",""
"S57","1,472","1,436","-2%","63%","79%","11","11.3","5","2","63","972","28","0","0","Staten Island","750","","","","","","","","","",""
"S59","4,000","3,592","-10%","71%","83%","13","16.0","5","3","84","1,023","12","0","0","Staten Island","750","","","","","","","","","",""
"S61","4,534","4,385","-3%","65%","82%","11","9.8","6","3","55","964","12","0","0","Staten Island","750","","","","","","","","","",""
"S62","4,923","4,431","-10%","69%","86%","11","8.4","5","3","57","793","2","0","0","Staten Island","750","","","","","","","","","",""
"S66","1,825","1,659","-9%","61%","82%","10","8.4","4","3","50","909","10","0","0","Staten Island","750","","","","","","","","","",""
"S74","5,479","5,411","-1%","58%","78%","12","19.4","8","3","95","1,090","12","0","0","Staten Island","750","","","","","","","","","",""
"S76","4,436","4,617","4%","59%","78%","11","9.6","6","3","72","716","7","0","0","Staten Island","750","","","","","","","","","",""
"S78","6,344","6,163","-3%","56%","76%","13","20.8","6","3","114","973","16","0","0","Staten Island","750","","","","","","","","","",""
"S79 SBS","8,969","11,378","27%","71%","85%","14","15.1","12","6","23","3,624","11","1","1","Staten Island","750","","","","","","","","","",""
"S81","4,364","4,169","-4%","66%","81%","","7.7","0","1","33","1,314","11","0","0","Staten Island","750","","","","","","","","","",""
"S84","5,479","5,411","-1%","46%","77%","","17.0","0","1","43","2,191","12","0","0","Staten Island","750","","","","","","","","","",""
"S86","4,436","4,617","4%","38%","85%","","9.1","0","0","71","700","7","0","0","Staten Island","750","","","","","","","","","",""
"S89","901","756","-16%","70%","83%","14","11.8","5","0","17","4,007","6","0","0","Staten Island","750","","","","","","","","","",""
"S90","4,559","4,629","2%","66%","78%","13","7.8","6","2","28","1,552","3","0","0","Staten Island","750","","","","","","","","","",""
"S91","4,534","4,385","-3%","59%","75%","10","9.5","5","0","36","1,434","12","0","0","Staten Island","750","","","","","","","","","",""
"S92","4,923","4,431","-10%","54%","78%","10","8.4","4","0","39","1,181","2","0","0","Staten Island","750","","","","","","","","","",""
"S93","1,646","3,686","124%","74%","86%","13","8.8","7","3","21","2,333","6","1","1","Staten Island","750","","","","","","","","","",""
"S94","6,755","7,016","4%","56%","75%","9","9.9","3","1","39","1,399","14","0","0","Staten Island","750","","","","","","","","","",""
"S96","7,126","7,299","2%","66%","77%","10","9.6","5","2","38","1,370","14","0","0","Staten Island","750","","","","","","","","","",""
"S98","7,765","7,702","-1%","65%","77%","9","6.8","5","2","25","1,524","9","0","0","Staten Island","750","","","","","","","","","",""
"Bronx","524,153","526,655","1%","64%","79%","7","6.2","9","4","37","920","10","7","4","","","","","","","","","","","",""
"Brooklyn","655,802","626,847","-4%","59%","77%","6","6.7","10","4","47","778","10","6","6","","","","","","","","","","","",""
"Manhattan","488,675","410,479","-16%","54%","75%","6","5.5","9","4","39","757","7","10","10","","","","","","","","","","","",""
"Queens","703,270","708,707","1%","63%","79%","8","6.9","10","4","44","858","9","4","3","","","","","","","","","","","",""
"Staten Island","91,960","94,535","3%","67%","82%","11","10.6","6","2","59","955","13","0","0","","","","","","","","","","","",""
"NYC","2,463,860","2,367,223","-4%","61%","78%","7","6.8","9","4","44","845","10","6","5","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","Bus overlap is for direction ""1"" except for Q15/A, Q13, Q16, Q88, Q28, and Q70+","",""
"","","","","","","","","","","","","","","","","","","","","Local","","","","","",""
