service_id,date,exception_type
OH_F0-Weekday,20200408,1
OH_F0-Weekday,20200409,1
OH_F0-Weekday,20200410,1
OH_F0-Weekday,20200413,1
OH_F0-Weekday,20200414,1
OH_F0-Weekday,20200415,1
OH_F0-Weekday,20200416,1
OH_F0-Weekday,20200417,1
OH_F0-Weekday,20200420,1
OH_F0-Weekday,20200421,1
OH_F0-Weekday,20200422,1
OH_F0-Weekday,20200423,1
OH_F0-Weekday,20200424,1
OH_F0-Weekday,20200427,1
OH_F0-Weekday,20200428,1
OH_F0-Weekday,20200429,1
OH_F0-Weekday,20200430,1
OH_F0-Weekday,20200501,1
OH_F0-Weekday,20200504,1
OH_F0-Weekday,20200505,1
OH_F0-Weekday,20200506,1
OH_F0-Weekday,20200507,1
OH_F0-Weekday,20200508,1
OH_F0-Weekday,20200511,1
OH_F0-Weekday,20200512,1
OH_F0-Weekday,20200513,1
OH_F0-Weekday,20200514,1
OH_F0-Weekday,20200515,1
OH_F0-Weekday,20200518,1
OH_F0-Weekday,20200519,1
OH_F0-Weekday,20200520,1
OH_F0-Weekday,20200521,1
OH_F0-Weekday,20200522,1
OH_F0-Weekday,20200525,1
OH_F0-Weekday,20200526,1
OH_F0-Weekday,20200527,1
OH_F0-Weekday,20200528,1
OH_F0-Weekday,20200529,1
OH_F0-Weekday,20200601,1
OH_F0-Weekday,20200602,1
OH_F0-Weekday,20200603,1
OH_F0-Weekday,20200604,1
OH_F0-Weekday,20200605,1
OH_F0-Weekday,20200608,1
OH_F0-Weekday,20200609,1
OH_F0-Weekday,20200610,1
OH_F0-Weekday,20200611,1
OH_F0-Weekday,20200612,1
OH_F0-Weekday,20200615,1
OH_F0-Weekday,20200616,1
OH_F0-Weekday,20200617,1
OH_F0-Weekday,20200618,1
OH_F0-Weekday,20200619,1
OH_F0-Weekday,20200622,1
OH_F0-Weekday,20200623,1
OH_F0-Weekday,20200624,1
OH_F0-Weekday,20200625,1
OH_F0-Weekday,20200626,1
OH_F0-Weekday-BM,20200405,1
OH_F0-Weekday-BM,20200406,1
OH_F0-Weekday-BM,20200407,1
OH_F0-Weekday-BM,20200408,1
OH_F0-Weekday-BM,20200409,1
OH_F0-Weekday-BM,20200412,1
OH_F0-Weekday-BM,20200413,1
OH_F0-Weekday-BM,20200414,1
OH_F0-Weekday-BM,20200415,1
OH_F0-Weekday-BM,20200416,1
OH_F0-Weekday-BM,20200419,1
OH_F0-Weekday-BM,20200420,1
OH_F0-Weekday-BM,20200421,1
