ID,Make,Model,Year,Depot
3780,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3781,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3782,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3783,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
5383,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5384,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5385,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5386,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5387,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5388,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5389,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5390,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5391,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5392,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5393,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5394,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5395,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5396,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5397,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5398,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5399,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5400,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5401,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5402,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5403,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5404,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5405,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5406,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5407,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5408,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5409,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5410,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5411,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5412,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5413,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5414,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5415,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5416,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5417,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5418,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5419,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
5420,New Flyer Industries,XD60 Xcelsior Articulated,2016,Baisley Park Depot (MTA Bus)
