Route,End point 1,End point 2,Length (miles),Length (km)
X28,Sea Gate / Bensonhurst,Manhattan Express,0,0
X37,Bay Ridge,Midtown Manhattan Express,0,0
X38,Sea Gate / Bensonhurst,Midtown Manhattan Express,0,0
M1,Harlem,East Village,9.4,15.1278336
M10,Harlem,Columbus Circle,5.2,8.3685888
M101,East Village,Harlem,11.9,19.1511936
M102,Harlem,East Village,7.7,12.3919488
M103,East Harlem,City Hall,7.8,12.5528832
M104,West Harlem,Times Square,5.2,8.3685888
M106,East Harlem,West Side,2.5,4.02336
M11,Riverbank Park & Harlem,West Village,7.9,12.7138176
M116,West Side,East Harlem,2.6,4.1842944
M12,Midtown West,West Village,3.5,5.632704
M14A-SBS,Lower East Side,Abingdon Sq,3.9,6.2764416
M14D-SBS,Lower East Side,Chelsea Piers,3.4,5.4717696
M15,East Harlem,South Ferry,8.7,14.0012928
M15-SBS,East Harlem,South Ferry,8.7,14.0012928
M191,191 ST Shuttle Loop,,0,0
M2,Washington Heights,East Village,10.5,16.898112
M20,Lincoln Center,South Ferry,6.4,10.2998016
M21,Lower East Side,West Village LTD,2.4,3.8624256
M22,Lower East Side,Battery Park City,2.8,4.5061632
M23-SBS,Chelsea Piers,East Side,2.6,4.1842944
M3,Fort George,East Village,10.5,16.898112
M31,Yorkville,Clinton,3.9,6.2764416
M34-SBS,East Side,Javits Center,2.1,3.3796224
M34A-SBS,Waterside,Port Authority Terminal,2.5,4.02336
M35,Ward's Island,East Harlem,3,4.828032
M4,The Cloisters,32 St,12.1,19.4730624
M42,United Nations,W 42 St Pier,2.1,3.3796224
M5,George Washington Bridge,31 St & 6 Av,9.4,15.1278336
M50,W 42 St Pier,East Side,2.3,3.7014912
M55,W 44 St ,South Ferry,4.5,7.242048
M57,East Side,West Side,3,4.828032
M60-SBS,LaGuardia Airport,West Side,9.4,15.1278336
M66,East Side,Lincoln Center,2,3.218688
M7,Harlem,14th Street,7.8,12.5528832
M72,East Side,West Side,3,4.828032
M79-SBS,Yorkville,West Side,2.2,3.5405568
M8,West Village,East Village LTD,2.2,3.5405568
M86-SBS,Yorkville,West Side,2.4,3.8624256
M9,Battery Park City,Kips Bay,4.8,7.7248512
M96,East Side,West Side,2,3.218688
M98,Washington Heights,Upper East Side,7.3,11.7482112
Q1,Queens Village / Bellerose,Jamaica,5.9,9.4951296
Q12,Little Neck,Flushing,5.8,9.3341952
Q13,Fort Totten,Flushing,6.3,10.1388672
Q15,Flushing,Beechhurst,4.4,7.0811136
Q15A,Flushing,Beechhurst / Whitestone,4.7,7.5639168
Q16,Fort Totten,Flushing,6.2,9.9779328
Q17,Flushing,Jamaica,8.7,14.0012928
Q2,Queens Village,Jamaica,4.6,7.4029824
Q20A,College Point,Jamaica,9,14.484096
Q20B,College Point,Jamaica,9.2,14.8059648
Q26,Fresh Meadows,Flushing (Part-time),3.5,5.632704
Q27,Cambria Heights,Flushing,11.9,19.1511936
Q28,Bayside,Flushing,5.3,8.5295232
Q3,Jamaica,JFK Airport,8.5,13.679424
Q30,Little Neck or Queensborough Community College,Jamaica,8.5,13.679424
Q31,Bayside,Jamaica,8.6,13.8403584
Q32,Jackson Heights,Penn Station,7.4,11.9091456
Q36,Floral Park or Little Neck,Jamaica,10.2,16.4153088
Q4,Cambria Heights,Jamaica,6.6,10.6216704
Q42,Addeslieigh Park,Jamaica,2.5,4.02336
Q43,Floral Park,Jamaica,7.8,12.5528832
Q44-SBS,Bronx Zoo,Jamaica,14,22.530816
Q46,Glen Oaks,Kew Gardens,10.2,16.4153088
Q48,Flushing,LaGuardia Airport,5.6,9.0123264
Q5,Rosedale,Jamaica,8.6,13.8403584
Q76,College Point,Jamaica,10.1,16.2543744
Q77,Laurelton,Jamaica,6.7,10.7826048
Q83,Cambria Heights,Jamaica,7,11.265408
Q84,Laurelton,Jamaica,5.4,8.6904576
Q85,Rosedale,Jamaica,9.6,15.4497024
Q88,Elmhurst,Queens Village,9.8,15.7715712
X63,Rosedale,Midtown Manhattan Express,0,0
X64,Cambria Heights,Midtown Manhattan Express,0,0
X68,Floral Park,Midtown Manhattan Express,0,0
S40,St. George,Goethals Rd North,7.8,12.5528832
S42,St. George,Clyde Place,3.4,5.4717696
S44,St. George,Staten Island Mall,10.9,17.5418496
S46,St. George,West Shore Plaza,10,16.09344
S48,St. George,Mariners Harbor,6.8,10.9435392
S51,St. George,West Shore Plaza,8.7,14.0012928
S52,St. George,Staten Island Univ. Hospital,9,14.484096
S53,Port Richmond,Bay Ridge,9.4,15.1278336
S54,West New Brighton,Eltingville,11.5,18.507456
S55,Rossville,Staten Island Mall,10.5,16.898112
S56,Huguenot,Staten Island Mall,9.2,14.8059648
S57,Port Richmond,New Dorp,11.3,18.1855872
S59,Port Richmond,Tottenville,16,25.749504
S61,St. George,Staten Island Mall,9.8,15.7715712
S62,St. George,Travis,8.4,13.5184896
S66,St. George,Port Richmond,8.4,13.5184896
S74,St. George,Bricktown Mall,19.4,31.2212736
S76,St. George,Oakwood,9.6,15.4497024
S78,St. George,Bricktown Mall,20.8,33.4743552
S79-SBS,Staten Island Mall,Bay Ridge,15.1,24.3010944
S81,St. George,Grant City LTD,7.7,12.3919488
S84,St. George,Bricktown Mall LTD,17,27.358848
S86,St. George,Oakwood LTD,9.1,14.6450304
S89,Eltingville,Bayonne LTD,11.8,18.9902592
S90,St. George,Goethals Rd North LTD,7.8,12.5528832
S91,St. George,Staten Island Mall LTD,9.5,15.288768
S92,St. George,Travis LTD,8.4,13.5184896
S93,College of Staten Island,Bay Ridge LTD,8.8,14.1622272
S94,St. George,Staten Island Mall LTD,9.9,15.9325056
S96,St. George,West Shore Plaza LTD,9.6,15.4497024
S98,St. George,Mariners Harbor LTD,6.8,10.9435392
SIM1,Staten Island,Lower Manhattan Express,0,0
SIM10,Eltingville,Midtown Manhattan Express,0,0
SIM11,New Dorp,Midtown Manhattan Express,0,0
SIM15,Eltingville,Lower Manhattan Express,0,0
SIM1C,Staten Island,Manhattan Express,0,0
SIM2,Staten Island,Lower Manhattan Express,0,0
SIM22,Eltingville,Midtown Manhattan Express,0,0
SIM25,Tottenville,Midtown Manhattan Express,0,0
SIM26,Tottenville,Midtown Manhattan Express,0,0
SIM3,Staten Island,Midtown Manhattan Express,0,0
SIM30,Sunnyside,Midtown Manhattan Express,0,0
SIM31,Eltingville,Midtown Manhattan Express,0,0
SIM32,Travis,Lower Manhattan Express,0,0
SIM33,Mariners Harbor,Greenwich Village Express,0,0
SIM33C,Mariners Harbor,Greenwich Village Express,0,0
SIM34,Mariners Harbor,Lower Manhattan Express,0,0
SIM35,Port Richmond,Lower Manhattan Express,0,0
SIM3C,Staten Island,Manhattan Express,0,0
SIM4,Staten Island,Lower Manhattan Express,0,0
SIM4C,Staten Island,Manhattan Express,0,0
SIM4X,Staten Island,Lower Manhattan Express,0,0
SIM5,Staten Island,Lower Manhattan Express,0,0
SIM6,Staten Island,Midtown Manhattan Express,0,0
SIM7,Staten Island,Greenwich village Express,0,0
SIM8,Staten Island,Midtown Manhattan Express,0,0
SIM8X,Staten Island,Midtown Manhattan Express,0,0
SIM9,Eltingville,Greenwich Village Express,0,0
