route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
B41,FB_F0-Saturday-123100_B41_67,FB_F0-Saturday,DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,0,B410393
B46,FB_F0-Saturday-123100_B46_35,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B44+,FB_F0-Saturday-123100_SB44_525,FB_F0-Saturday,SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,0,SB440072
B49,FB_F0-Saturday-123200_B49_27,FB_F0-Saturday,MANHATTAN BCH KINGSBORO CC via BEDFORD,1,B490209
B44,FB_F0-Saturday-123300_B44_37,FB_F0-Saturday,FLUSHING AV via NOSTRAND,0,B440369
B46,FB_F0-Saturday-123300_B46_33,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B41,FB_F0-Saturday-123800_B41_64,FB_F0-Saturday,BERGEN BEACH VETERANS AV via FLATBUSH,1,B410399
B46+,FB_F0-Saturday-123900_SBS46_629,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B41,FB_F0-Saturday-124000_B41_55,FB_F0-Saturday,LIMITED KINGS PLAZA via FLATBUSH,1,B410402
B44,FB_F0-Saturday-124000_B44_43,FB_F0-Saturday,SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,B440379
B46,FB_F0-Saturday-124000_B46_28,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B49,FB_F0-Saturday-124000_B49_21,FB_F0-Saturday,BED-STUY FULTON ST via OCEAN via ROGERS,0,B490214
B46+,FB_F0-Saturday-124000_SBS46_630,FB_F0-Saturday,SELECT BUS DEKALB AV via UTICA,0,SBS460048
B41,FB_F0-Saturday-124100_B41_69,FB_F0-Saturday,DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,0,B410395
B44+,FB_F0-Saturday-124100_SB44_524,FB_F0-Saturday,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,SB440082
B46,FB_F0-Saturday-124300_B46_34,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B44+,FB_F0-Saturday-124300_SB44_526,FB_F0-Saturday,SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,0,SB440072
B44,FB_F0-Saturday-124500_B44_30,FB_F0-Saturday,FLUSHING AV via NOSTRAND,0,B440369
B2,FB_F0-Saturday-124900_B2_3,FB_F0-Saturday,KINGS PLAZA,0,B20053
B46,FB_F0-Saturday-124900_B46_29,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B46+,FB_F0-Saturday-124900_SBS46_619,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B2,FB_F0-Saturday-125000_B31_105,FB_F0-Saturday,MIDWOOD KINGS HWY STATION,1,B20054
B31,FB_F0-Saturday-125000_B31_107,FB_F0-Saturday,GERRITSEN BCH,1,B310049
B31,FB_F0-Saturday-125000_B31_108,FB_F0-Saturday,MIDWOOD KINGS HIGHWAY STA,0,B310050
B41,FB_F0-Saturday-125000_B41_65,FB_F0-Saturday,KINGS PLAZA via FLATBUSH,1,B410400
B44,FB_F0-Saturday-125000_B44_38,FB_F0-Saturday,AVENUE U via NOSTRAND,1,B440380
B46+,FB_F0-Saturday-125000_SBS46_631,FB_F0-Saturday,SELECT BUS DEKALB AV via UTICA,0,SBS460048
B41,FB_F0-Saturday-125200_B41_54,FB_F0-Saturday,LIMITED KINGS PLAZA via FLATBUSH,1,B410402
B49,FB_F0-Saturday-125200_B49_18,FB_F0-Saturday,MANHATTAN BCH KINGSBORO CC via BEDFORD,1,B490209
B46,FB_F0-Saturday-125300_B46_44,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B44+,FB_F0-Saturday-125300_SB44_530,FB_F0-Saturday,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,SB440082
B41,FB_F0-Saturday-125500_B41_60,FB_F0-Saturday,DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,0,B410393
B44+,FB_F0-Saturday-125500_SB44_529,FB_F0-Saturday,SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,0,SB440072
B44,FB_F0-Saturday-125700_B44_31,FB_F0-Saturday,FLUSHING AV via NOSTRAND,0,B440369
B46,FB_F0-Saturday-125800_B46_38,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B46+,FB_F0-Saturday-125900_SBS46_627,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B44,FB_F0-Saturday-126000_B44_33,FB_F0-Saturday,SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,B440379
B49,FB_F0-Saturday-126000_B49_20,FB_F0-Saturday,BED-STUY FULTON ST via OCEAN via ROGERS,0,B490214
B46+,FB_F0-Saturday-126000_SBS46_621,FB_F0-Saturday,SELECT BUS DEKALB AV via UTICA,0,SBS460048
B41,FB_F0-Saturday-126200_B41_66,FB_F0-Saturday,BERGEN BEACH VETERANS AV via FLATBUSH,1,B410399
B49,FB_F0-Saturday-126200_B49_24,FB_F0-Saturday,FOSTER AV FLATBUSH AV,1,B490210
B46,FB_F0-Saturday-126300_B46_42,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B41,FB_F0-Saturday-126500_B41_59,FB_F0-Saturday,LIMITED KINGS PLAZA via FLATBUSH,1,B410402
B41,FB_F0-Saturday-126500_B41_68,FB_F0-Saturday,DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,0,B410395
B44+,FB_F0-Saturday-126500_SB44_521,FB_F0-Saturday,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,SB440082
B46,FB_F0-Saturday-126700_B46_43,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B2,FB_F0-Saturday-126900_B31_105,FB_F0-Saturday,KINGS PLAZA,0,B20053
B44,FB_F0-Saturday-126900_B44_40,FB_F0-Saturday,FLUSHING AV via NOSTRAND,0,B440369
B44+,FB_F0-Saturday-126900_SB44_527,FB_F0-Saturday,SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,0,SB440072
B46+,FB_F0-Saturday-126900_SBS46_628,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B2,FB_F0-Saturday-127000_B2_4,FB_F0-Saturday,MIDWOOD KINGS HWY STATION,1,B20054
B31,FB_F0-Saturday-127000_B31_107,FB_F0-Saturday,MIDWOOD KINGS HIGHWAY STA,0,B310050
B31,FB_F0-Saturday-127000_B31_108,FB_F0-Saturday,GERRITSEN BCH,1,B310049
B44,FB_F0-Saturday-127000_B44_26,FB_F0-Saturday,AVENUE U via NOSTRAND,1,B440380
B46+,FB_F0-Saturday-127000_SBS46_625,FB_F0-Saturday,SELECT BUS DEKALB AV via UTICA,0,SBS460048
B49,FB_F0-Saturday-127200_B49_19,FB_F0-Saturday,MANHATTAN BCH KINGSBORO CC via BEDFORD,1,B490209
B46,FB_F0-Saturday-127300_B46_36,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B41,FB_F0-Saturday-127400_B41_56,FB_F0-Saturday,KINGS PLAZA via FLATBUSH,1,B410400
B46,FB_F0-Saturday-127700_B46_30,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B44+,FB_F0-Saturday-127700_SB44_522,FB_F0-Saturday,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,SB440082
B41,FB_F0-Saturday-127900_B41_70,FB_F0-Saturday,DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,0,B410393
B46+,FB_F0-Saturday-127900_SBS46_622,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B41,FB_F0-Saturday-128000_B41_57,FB_F0-Saturday,LIMITED KINGS PLAZA via FLATBUSH,1,B410402
B44,FB_F0-Saturday-128000_B44_35,FB_F0-Saturday,SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,B440379
B49,FB_F0-Saturday-128000_B49_28,FB_F0-Saturday,BED-STUY FULTON ST via OCEAN via ROGERS,0,B490214
B46+,FB_F0-Saturday-128000_SBS46_626,FB_F0-Saturday,SELECT BUS DEKALB AV via UTICA,0,SBS460048
B44,FB_F0-Saturday-128100_B44_32,FB_F0-Saturday,FLUSHING AV via NOSTRAND,0,B440369
B46,FB_F0-Saturday-128300_B46_45,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B44+,FB_F0-Saturday-128300_SB44_528,FB_F0-Saturday,SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,0,SB440072
B41,FB_F0-Saturday-128600_B41_61,FB_F0-Saturday,BERGEN BEACH VETERANS AV via FLATBUSH,1,B410399
B46,FB_F0-Saturday-128700_B46_32,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B2,FB_F0-Saturday-128900_B2_4,FB_F0-Saturday,KINGS PLAZA,0,B20053
B41,FB_F0-Saturday-128900_B41_62,FB_F0-Saturday,DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,0,B410395
B44+,FB_F0-Saturday-128900_SB44_520,FB_F0-Saturday,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,SB440082
B46+,FB_F0-Saturday-128900_SBS46_620,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B2,FB_F0-Saturday-129000_B31_106,FB_F0-Saturday,MIDWOOD KINGS HWY STATION,1,B20054
B31,FB_F0-Saturday-129000_B31_107,FB_F0-Saturday,GERRITSEN BCH,1,B310049
B31,FB_F0-Saturday-129000_B31_108,FB_F0-Saturday,MIDWOOD KINGS HIGHWAY STA,0,B310050
B44,FB_F0-Saturday-129000_B44_28,FB_F0-Saturday,AVENUE U via NOSTRAND,1,B440380
B49,FB_F0-Saturday-129200_B49_23,FB_F0-Saturday,MANHATTAN BCH KINGSBORO CC via BEDFORD,1,B490209
B46+,FB_F0-Saturday-129200_SBS46_623,FB_F0-Saturday,SELECT BUS DEKALB AV via UTICA,0,SBS460048
B44,FB_F0-Saturday-129300_B44_27,FB_F0-Saturday,FLUSHING AV via NOSTRAND,0,B440369
B46,FB_F0-Saturday-129300_B46_37,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B46,FB_F0-Saturday-129700_B46_41,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B41,FB_F0-Saturday-129800_B41_58,FB_F0-Saturday,KINGS PLAZA via FLATBUSH,1,B410400
B46+,FB_F0-Saturday-129900_SBS46_630,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B44,FB_F0-Saturday-130000_B44_36,FB_F0-Saturday,SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,B440379
B49,FB_F0-Saturday-130000_B49_25,FB_F0-Saturday,BED-STUY FULTON ST via OCEAN via ROGERS,0,B490214
B44+,FB_F0-Saturday-130000_SB44_531,FB_F0-Saturday,SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,0,SB440072
B44+,FB_F0-Saturday-130100_SB44_525,FB_F0-Saturday,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,SB440082
B46,FB_F0-Saturday-130300_B46_46,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B41,FB_F0-Saturday-130400_B41_71,FB_F0-Saturday,DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,0,B410393
B46+,FB_F0-Saturday-130400_SBS46_624,FB_F0-Saturday,SELECT BUS DEKALB AV via UTICA,0,SBS460048
B44,FB_F0-Saturday-130500_B44_39,FB_F0-Saturday,FLUSHING AV via NOSTRAND,0,B440369
B46,FB_F0-Saturday-130700_B46_40,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
