route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
B44+,FB_F0-Saturday-138000_SB44_530,FB_F0-Saturday,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,1,SB440082
B44,FB_F0-Saturday-138100_B44_38,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via NOSTRAND,0,B440371
B46+,FB_F0-Saturday-138100_SBS46_628,FB_F0-Saturday,SELECT BUS KINGS PLAZA via UTICA,1,SBS460042
B41,FB_F0-Saturday-138200_B41_71,FB_F0-Saturday,BERGEN BEACH VETERANS AV via FLATBUSH,1,B410399
B44,FB_F0-Saturday-138400_B44_39,FB_F0-Saturday,EMMONS AV,1,B440381
B46,FB_F0-Saturday-138400_B46_40,FB_F0-Saturday,WILLIAMSBURG BRIDGE PLAZA via UTICA,0,B460336
B49,FB_F0-Saturday-138500_B49_27,FB_F0-Saturday,BED-STUY FULTON ST via OCEAN via ROGERS,0,B490214
B46,FB_F0-Saturday-138700_B46_46,FB_F0-Saturday,KINGS PLAZA via UTICA,1,B460335
B2,FB_F0-Saturday-138900_B31_106,FB_F0-Saturday,KINGS PLAZA,0,B20053
B2,FB_F0-Saturday-139000_B2_4,FB_F0-Saturday,MIDWOOD KINGS HWY STATION,1,B20054
B31,FB_F0-Saturday-139000_B31_107,FB_F0-Saturday,MIDWOOD KINGS HIGHWAY STA,0,B310050
